year,month,day,hour,temp,dew_point,sea_level_pressure,wind_dir,wind_speed,coverage,precip_1,precip_6
2015,1,1,0,67,0,10203,150,46,6,-9999,-9999
2015,1,1,1,61,6,10205,140,57,-9999,0,-9999
2015,1,1,2,50,0,10208,150,26,4,0,-9999
2015,1,1,3,44,6,10206,160,36,2,0,-9999
2015,1,1,4,33,0,10205,80,21,-9999,0,-9999
2015,1,1,5,28,0,10205,0,0,-9999,0,-9999
2015,1,1,6,17,-6,10206,80,15,2,0,-9999
2015,1,1,7,17,-6,10202,80,26,0,0,-9999
2015,1,1,8,6,-11,10200,70,21,0,0,-9999
2015,1,1,9,11,-6,10197,80,36,0,0,-9999
2015,1,1,10,6,-11,10201,0,0,0,0,-9999
2015,1,1,11,-6,-22,10201,0,0,0,0,-9999
2015,1,1,12,-6,-22,10198,0,0,0,0,-9999
2015,1,1,13,-6,-22,10200,50,15,0,0,-9999
2015,1,1,14,-6,-22,10202,0,0,0,0,-9999
2015,1,1,15,-11,-28,10208,0,0,0,0,-9999
2015,1,1,16,-11,-22,10218,0,0,0,0,-9999
2015,1,1,17,22,-11,10223,0,0,0,0,-9999
2015,1,1,18,44,-17,10225,80,26,0,0,-9999
2015,1,1,19,67,-17,10219,0,0,0,0,-9999
2015,1,1,20,89,-50,10209,70,15,0,0,-9999
2015,1,1,21,94,-67,10201,0,0,0,0,-9999
2015,1,1,22,106,-83,10200,0,0,0,0,-9999
2015,1,1,23,111,-61,10201,180,15,0,0,-9999
2015,1,2,0,111,-67,10205,70,15,0,0,-9999
2015,1,2,1,100,-61,10209,0,0,0,0,-9999
2015,1,2,2,78,-50,10213,0,0,0,0,-9999
2015,1,2,3,50,-33,10217,0,0,0,0,-9999
2015,1,2,4,39,-28,10219,0,0,0,0,-9999
2015,1,2,5,33,-22,10220,70,15,0,0,-9999
2015,1,2,6,11,-22,10224,0,0,0,0,-9999
2015,1,2,7,17,-28,10225,0,0,0,0,-9999
2015,1,2,8,6,-28,10224,0,0,4,0,-9999
2015,1,2,9,0,-33,10222,40,15,4,0,-9999
2015,1,2,10,-6,-33,10224,0,0,4,0,-9999
2015,1,2,11,-6,-39,10222,0,0,4,0,-9999
2015,1,2,12,-6,-39,10220,0,0,4,0,-9999
2015,1,2,13,-11,-39,10216,0,0,4,0,-9999
2015,1,2,14,-17,-39,10221,0,0,2,0,-9999
2015,1,2,15,-22,-44,10225,50,15,0,0,-9999
2015,1,2,16,-11,-28,10229,0,0,0,0,-9999
2015,1,2,17,17,-28,10236,0,0,0,0,-9999
2015,1,2,18,44,-22,10237,0,0,0,0,-9999
2015,1,2,19,61,-22,10231,0,0,0,0,-9999
2015,1,2,20,94,-28,10218,-9999,15,0,0,-9999
2015,1,2,21,100,-33,10207,290,21,0,0,-9999
2015,1,2,22,117,-44,10198,330,15,2,0,-9999
2015,1,2,23,117,-39,10200,310,15,2,0,-9999
2015,1,3,0,111,-28,10201,300,21,2,0,-9999
2015,1,3,1,100,-33,10201,320,21,2,0,-9999
2015,1,3,2,78,-33,10206,320,15,0,0,-9999
2015,1,3,3,67,-11,10213,300,21,0,0,-9999
2015,1,3,4,56,-17,10217,0,0,0,0,-9999
2015,1,3,5,33,-17,10222,80,15,0,0,-9999
2015,1,3,6,22,-17,10226,80,15,0,0,-9999
2015,1,3,7,17,-17,10227,70,15,0,0,-9999
2015,1,3,8,11,-17,10232,0,0,2,0,-9999
2015,1,3,9,6,-22,10235,0,0,4,0,-9999
2015,1,3,10,0,-28,10236,0,0,4,0,-9999
2015,1,3,11,-6,-33,10233,0,0,4,0,-9999
2015,1,3,12,-6,-33,10238,30,15,4,0,-9999
2015,1,3,13,-6,-28,10235,0,0,4,0,-9999
2015,1,3,14,-11,-33,10244,0,0,4,0,-9999
2015,1,3,15,-11,-33,10251,0,0,2,0,-9999
2015,1,3,16,-6,-33,10253,0,0,0,0,-9999
2015,1,3,17,28,-17,10260,0,0,4,0,-9999
2015,1,3,18,50,-6,10259,130,21,4,0,-9999
2015,1,3,19,78,-6,10252,110,26,2,0,-9999
2015,1,3,20,94,0,10248,130,15,4,0,-9999
2015,1,3,21,106,-6,10246,0,0,4,0,-9999
2015,1,3,22,117,-22,10240,0,0,2,0,-9999
2015,1,3,23,122,-11,10245,0,0,2,0,-9999
2015,1,4,0,122,-17,10249,0,0,2,0,-9999
2015,1,4,1,111,-11,10255,320,15,2,0,-9999
2015,1,4,2,94,-6,10261,0,0,0,0,-9999
2015,1,4,3,78,-6,10266,0,0,0,0,-9999
2015,1,4,4,61,0,10272,0,0,0,0,-9999
2015,1,4,5,50,-6,10269,80,21,0,0,-9999
2015,1,4,6,39,-6,10271,0,0,0,0,-9999
2015,1,4,7,28,-6,10274,0,0,0,0,-9999
2015,1,4,8,22,-6,10274,70,15,0,0,-9999
2015,1,4,9,11,-17,10274,0,0,0,0,-9999
2015,1,4,10,11,-17,10277,0,0,0,0,-9999
2015,1,4,11,6,-11,10279,0,0,0,0,-9999
2015,1,4,12,6,-17,10285,0,0,0,0,-9999
2015,1,4,13,6,-17,10280,0,0,2,0,-9999
2015,1,4,14,0,-17,10285,0,0,2,0,-9999
2015,1,4,15,6,-17,10295,0,0,-9999,0,-9999
2015,1,4,16,17,-11,10304,0,0,-9999,0,-9999
2015,1,4,17,33,6,10312,0,0,-9999,0,-9999
2015,1,4,18,61,17,10316,0,0,6,0,-9999
2015,1,4,19,78,17,10307,210,15,-9999,0,-9999
2015,1,4,20,94,11,10276,150,57,-9999,0,-9999
2015,1,4,21,106,17,10288,230,15,-9999,0,-9999
2015,1,4,22,122,17,10296,320,36,-9999,0,-9999
2015,1,4,23,122,17,10292,-9999,21,-9999,0,-9999
2015,1,5,0,128,11,10291,0,0,6,0,-9999
2015,1,5,1,117,11,10296,0,0,-9999,0,-9999
