year,month,day,hour,temp,dew_point,sea_level_pressure,wind_dir,wind_speed,coverage,precip_1,precip_6
2015,1,1,0,28,-61,10288,0,0,6,-9999,-9999
2015,1,1,1,6,-44,10285,0,0,4,0,-9999
2015,1,1,2,0,-44,10286,0,0,2,0,-9999
2015,1,1,3,-17,-50,10284,0,0,2,0,-9999
2015,1,1,4,-17,-50,10283,0,0,0,0,-9999
2015,1,1,5,-22,-50,10282,0,0,2,0,-9999
2015,1,1,6,-22,-56,10280,0,0,2,0,-9999
2015,1,1,7,-17,-50,10278,0,0,2,0,-9999
2015,1,1,8,-22,-44,10275,0,0,2,0,-9999
2015,1,1,9,-28,-50,10266,0,0,2,0,-9999
2015,1,1,10,-28,-56,10267,0,0,2,0,-9999
2015,1,1,11,-39,-61,10269,230,15,2,0,-9999
2015,1,1,12,-44,-67,10271,0,0,2,0,-9999
2015,1,1,13,-33,-61,10276,0,0,2,0,-9999
2015,1,1,14,-11,-39,10278,0,0,4,0,-9999
2015,1,1,15,22,-39,10281,0,0,2,0,-9999
2015,1,1,16,56,-61,10275,230,15,2,0,-9999
2015,1,1,17,72,-28,10262,230,41,2,0,-9999
2015,1,1,18,94,-33,10252,260,46,2,0,-9999
2015,1,1,19,100,-17,10242,230,46,2,0,-9999
2015,1,1,20,106,-11,10233,220,46,4,0,-9999
2015,1,1,21,100,-6,10235,230,57,4,0,-9999
2015,1,1,22,94,0,10234,220,41,4,0,-9999
2015,1,1,23,61,-6,10233,200,26,4,0,-9999
2015,1,2,0,50,-11,10238,220,21,4,0,-9999
2015,1,2,1,61,0,10233,210,31,-9999,0,-9999
2015,1,2,2,50,0,10236,230,26,-9999,0,-9999
2015,1,2,3,56,6,10237,230,31,-9999,0,-9999
2015,1,2,4,56,6,10239,220,26,-9999,0,-9999
2015,1,2,5,56,11,10239,230,26,-9999,0,-9999
2015,1,2,6,67,11,10234,230,31,8,0,-9999
2015,1,2,7,61,11,10240,230,31,-9999,0,-9999
2015,1,2,8,61,11,10239,230,26,-9999,0,-9999
2015,1,2,9,67,11,10237,290,15,-9999,0,-9999
2015,1,2,10,61,11,10232,220,21,-9999,0,-9999
2015,1,2,11,61,17,10242,240,15,-9999,0,-9999
2015,1,2,12,50,11,10245,220,26,6,0,-9999
2015,1,2,13,56,11,10256,200,26,-9999,0,-9999
2015,1,2,14,72,22,10263,240,21,-9999,0,-9999
2015,1,2,15,89,22,10266,230,21,-9999,0,-9999
2015,1,2,16,106,22,10269,210,21,-9999,0,-9999
2015,1,2,17,117,22,10263,0,0,-9999,0,-9999
2015,1,2,18,122,22,10262,0,0,8,0,-9999
2015,1,2,19,122,28,10262,0,0,-9999,0,-9999
2015,1,2,20,122,28,10264,220,15,-9999,0,-9999
2015,1,2,21,122,33,10268,0,0,-9999,0,-9999
2015,1,2,22,111,39,10270,50,15,-9999,0,-9999
2015,1,2,23,106,39,10279,0,0,-9999,0,-9999
2015,1,3,0,100,44,10287,0,0,8,0,-9999
2015,1,3,1,100,44,10286,0,0,-9999,0,-9999
2015,1,3,2,89,44,10280,0,0,-9999,0,-9999
2015,1,3,3,89,39,10281,140,15,-9999,0,-9999
2015,1,3,4,78,39,10288,0,0,-9999,0,-9999
2015,1,3,5,89,44,10283,0,0,-9999,0,-9999
2015,1,3,6,89,44,10278,60,26,8,0,-9999
2015,1,3,7,89,44,10283,0,0,-9999,0,-9999
2015,1,3,8,94,39,10287,100,26,-9999,-1,-9999
2015,1,3,9,89,50,10285,90,26,-9999,3,-9999
2015,1,3,10,83,56,10285,100,15,-9999,5,-9999
2015,1,3,11,78,56,10288,10,21,-9999,30,-9999
2015,1,3,12,78,56,10290,80,26,8,0,40
2015,1,3,13,78,56,10294,80,26,-9999,0,-9999
2015,1,3,14,78,56,10299,70,31,-9999,0,-9999
2015,1,3,15,83,56,10299,50,26,-9999,0,-9999
2015,1,3,16,94,56,10296,50,21,-9999,0,-9999
2015,1,3,17,106,61,10282,80,36,-9999,0,-9999
2015,1,3,18,100,67,10266,80,26,8,0,-9999
2015,1,3,19,100,72,10253,70,15,-9999,-1,-9999
2015,1,3,20,100,78,10245,60,26,-9999,-1,-9999
2015,1,3,21,100,78,10245,60,15,-9999,-1,-9999
2015,1,3,22,94,83,10239,60,15,-9999,3,-9999
2015,1,3,23,94,83,10238,70,15,-9999,0,-9999
2015,1,4,0,94,83,10239,0,0,8,-1,3
2015,1,4,1,94,83,10233,0,0,-9999,-1,-9999
2015,1,4,2,94,83,10227,0,0,-9999,0,-9999
2015,1,4,3,94,83,10225,180,15,-9999,-1,-9999
2015,1,4,4,94,83,10220,160,15,-9999,-1,-9999
2015,1,4,5,94,83,10218,0,0,-9999,0,-9999
2015,1,4,6,94,83,10208,0,0,8,0,-1
2015,1,4,7,94,83,10198,0,0,-9999,0,-9999
2015,1,4,8,100,89,10197,170,15,-9999,30,-9999
2015,1,4,9,144,133,10186,210,41,-9999,8,-9999
2015,1,4,10,150,139,10185,240,21,-9999,0,-9999
2015,1,4,11,167,156,10185,220,41,-9999,0,-9999
2015,1,4,12,167,156,10189,240,41,8,0,40
2015,1,4,13,161,150,10193,220,26,-9999,0,-9999
2015,1,4,14,160,150,-9999,0,0,-9999,0,-9999
2015,1,4,15,178,161,10192,220,36,-9999,0,-9999
2015,1,4,16,194,167,10186,240,62,-9999,0,-9999
2015,1,4,17,170,140,-9999,280,46,-9999,-1,-9999
2015,1,4,18,178,144,10165,240,62,8,8,20
2015,1,4,19,189,156,10147,220,72,-9999,0,-9999
2015,1,4,20,189,161,10141,220,72,-9999,5,-9999
2015,1,4,21,178,144,10114,190,77,-9999,13,-9999
2015,1,4,22,178,144,10134,240,57,-9999,0,-9999
2015,1,4,23,178,150,10136,230,46,-9999,0,-9999
2015,1,5,0,183,156,10133,230,93,8,0,20
2015,1,5,1,183,150,10139,240,82,-9999,0,-9999
2015,1,5,2,183,139,10153,250,51,-9999,0,-9999
2015,1,5,3,178,111,10159,270,46,-9999,0,-9999
2015,1,5,4,156,72,10174,310,41,-9999,0,-9999
2015,1,5,5,133,28,10181,290,46,-9999,0,-9999
2015,1,5,6,117,22,10194,310,46,2,0,-9999
2015,1,5,7,106,6,10206,-9999,31,2,0,-9999
2015,1,5,8,94,0,10214,290,21,2,0,-9999
2015,1,5,9,83,-6,10220,310,21,4,0,-9999
2015,1,5,10,67,-6,10231,310,15,4,0,-9999
2015,1,5,11,61,-11,10242,290,15,2,0,-9999
2015,1,5,12,50,-11,10251,0,0,2,0,-9999
2015,1,5,13,50,-22,10262,0,0,4,0,-9999
2015,1,5,14,67,-11,10275,-9999,26,-9999,0,-9999
2015,1,5,15,78,-28,10283,-9999,31,-9999,0,-9999
2015,1,5,16,89,-39,10289,300,46,-9999,0,-9999
2015,1,5,17,94,-44,10283,-9999,26,-9999,0,-9999
2015,1,5,18,100,-67,10278,310,51,4,0,-9999
2015,1,5,19,106,-56,10276,320,36,-9999,0,-9999
2015,1,5,20,106,-78,10280,300,67,-9999,0,-9999
2015,1,5,21,100,-67,10286,280,51,-9999,0,-9999
2015,1,5,22,89,-78,10291,300,26,-9999,0,-9999
2015,1,5,23,72,-72,10294,0,0,-9999,0,-9999
2015,1,6,0,56,-67,10302,0,0,4,0,-9999
2015,1,6,1,56,-72,10307,30,15,4,0,-9999
2015,1,6,2,39,-78,10311,10,21,2,0,-9999
2015,1,6,3,28,-83,10314,30,21,2,0,-9999
2015,1,6,4,17,-83,10307,60,15,2,0,-9999
2015,1,6,5,11,-89,10301,0,0,2,0,-9999
2015,1,6,6,0,-78,10292,70,15,2,0,-9999
2015,1,6,7,-6,-83,10292,60,21,2,0,-9999
2015,1,6,8,-17,-83,10295,0,0,2,0,-9999
2015,1,6,9,-22,-78,10290,0,0,2,0,-9999
2015,1,6,10,-28,-72,10288,0,0,2,0,-9999
2015,1,6,11,-28,-67,10279,0,0,2,0,-9999
2015,1,6,12,-22,-67,10267,0,0,4,0,-9999
2015,1,6,13,-28,-67,10268,0,0,4,0,-9999
2015,1,6,14,11,-78,10260,180,26,4,0,-9999
2015,1,6,15,50,-78,10254,200,46,4,0,-9999
2015,1,6,16,89,-39,10239,240,72,4,0,-9999
2015,1,6,17,94,-33,10220,250,51,4,0,-9999
2015,1,6,18,111,-17,10199,230,77,6,0,-9999
2015,1,6,19,122,-28,10189,240,77,-9999,0,-9999
2015,1,6,20,117,-50,10187,270,51,-9999,0,-9999
2015,1,6,21,106,-56,10192,280,31,-9999,0,-9999
2015,1,6,22,94,-61,10194,280,26,-9999,0,-9999
2015,1,6,23,83,-61,10196,0,0,-9999,0,-9999
2015,1,7,0,61,-50,10199,0,0,4,0,-9999
2015,1,7,1,61,-61,10205,0,0,4,0,-9999
2015,1,7,2,44,-61,10211,-9999,15,4,0,-9999
2015,1,7,3,33,-67,10210,0,0,-9999,0,-9999
2015,1,7,4,11,-61,10206,0,0,-9999,0,-9999
2015,1,7,5,0,-56,10207,0,0,-9999,0,-9999
2015,1,7,6,-6,-61,10205,0,0,6,0,-9999
2015,1,7,7,-11,-56,10198,0,0,-9999,0,-9999
2015,1,7,8,-11,-67,10199,0,0,-9999,0,-9999
2015,1,7,9,-17,-56,10194,0,0,-9999,0,-9999
2015,1,7,10,-17,-56,10188,0,0,-9999,0,-9999
2015,1,7,11,-17,-50,10184,200,15,-9999,0,-9999
2015,1,7,12,-17,-56,10192,240,15,6,0,-9999
