year,month,day,hour,temp,dew_point,sea_level_pressure,wind_dir,wind_speed,coverage,precip_1,precip_6
2015,1,1,0,-89,-172,10282,350,15,2,-9999,-9999
2015,1,1,1,-100,-172,10277,10,21,2,0,-9999
2015,1,1,2,-94,-172,10273,20,15,0,0,-9999
2015,1,1,3,-100,-161,10275,0,0,0,0,-9999
2015,1,1,4,-106,-156,10274,240,15,0,0,-9999
2015,1,1,5,-106,-167,10258,0,0,0,0,-9999
2015,1,1,6,-117,-161,10255,140,21,0,0,-9999
2015,1,1,7,-122,-156,10252,170,21,0,0,-9999
2015,1,1,8,-133,-161,10247,0,0,0,0,-9999
2015,1,1,9,-128,-167,10239,170,15,0,0,-9999
2015,1,1,10,-128,-161,10239,0,0,0,0,-9999
2015,1,1,11,-128,-161,10235,0,0,0,0,-9999
2015,1,1,12,-133,-167,10236,0,0,0,0,-9999
2015,1,1,13,-128,-167,10236,150,15,0,0,-9999
2015,1,1,14,-133,-156,10237,0,0,0,0,-9999
2015,1,1,15,-139,-167,10245,0,0,2,0,-9999
2015,1,1,16,-122,-150,10247,170,15,2,0,-9999
2015,1,1,17,-100,-144,10249,130,21,2,0,-9999
2015,1,1,18,-78,-139,10252,0,0,2,0,-9999
2015,1,1,19,-61,-133,10248,240,26,2,0,-9999
2015,1,1,20,-56,-128,10246,280,26,2,0,-9999
2015,1,1,21,-50,-128,10242,280,21,2,0,-9999
2015,1,1,22,-50,-128,10244,270,31,2,0,-9999
2015,1,1,23,-56,-122,10250,280,31,2,0,-9999
2015,1,2,0,-67,-122,10256,240,21,2,0,-9999
2015,1,2,1,-72,-122,10260,0,0,2,0,-9999
2015,1,2,2,-72,-122,10267,0,0,2,0,-9999
2015,1,2,3,-83,-133,10272,0,0,2,0,-9999
2015,1,2,4,-89,-128,10273,150,15,4,0,-9999
2015,1,2,5,-89,-133,10275,130,26,-9999,0,-9999
2015,1,2,6,-89,-139,10272,140,26,4,0,-9999
2015,1,2,7,-89,-139,10266,140,36,4,0,-9999
2015,1,2,8,-94,-144,10268,140,31,2,0,-9999
2015,1,2,9,-94,-139,10272,140,21,2,0,-9999
2015,1,2,10,-111,-144,10276,130,31,2,0,-9999
2015,1,2,11,-94,-139,10269,150,46,2,0,-9999
2015,1,2,12,-106,-144,10268,140,21,2,0,-9999
2015,1,2,13,-111,-144,10271,140,26,2,0,-9999
2015,1,2,14,-106,-139,10271,130,26,2,0,-9999
2015,1,2,15,-106,-139,10274,140,31,2,0,-9999
2015,1,2,16,-100,-139,10282,140,36,2,0,-9999
2015,1,2,17,-83,-128,10281,170,21,2,0,-9999
2015,1,2,18,-61,-128,10274,0,0,2,0,-9999
2015,1,2,19,-44,-128,10259,0,0,2,0,-9999
2015,1,2,20,-44,-122,10251,360,31,2,0,-9999
2015,1,2,21,-39,-122,10247,350,21,2,0,-9999
2015,1,2,22,-33,-122,10246,360,21,0,0,-9999
2015,1,2,23,-44,-117,10239,270,15,0,0,-9999
2015,1,3,0,-56,-122,10246,310,31,2,0,-9999
2015,1,3,1,-67,-117,10251,320,21,2,0,-9999
2015,1,3,2,-83,-122,10252,0,0,4,0,-9999
2015,1,3,3,-83,-122,10257,0,0,2,0,-9999
2015,1,3,4,-78,-117,10252,0,0,2,0,-9999
2015,1,3,5,-78,-111,10249,0,0,-9999,0,-9999
2015,1,3,6,-67,-117,10235,160,36,8,0,-9999
2015,1,3,7,-67,-111,10235,130,26,-9999,0,-9999
2015,1,3,8,-67,-111,10236,140,31,-9999,0,-9999
2015,1,3,9,-61,-111,10230,160,26,8,0,-9999
2015,1,3,10,-56,-106,10231,150,36,-9999,0,-9999
2015,1,3,11,-56,-111,10231,160,26,-9999,0,-9999
2015,1,3,12,-56,-106,10232,210,21,8,0,-9999
2015,1,3,13,-56,-106,10234,0,0,-9999,0,-9999
2015,1,3,14,-56,-100,10236,140,15,-9999,0,-9999
2015,1,3,15,-50,-100,10243,260,15,8,0,-9999
2015,1,3,16,-50,-94,10248,120,31,-9999,0,-9999
2015,1,3,17,-39,-106,10258,0,0,-9999,0,-9999
2015,1,3,18,-28,-94,10257,0,0,8,0,-9999
2015,1,3,19,-22,-94,10256,0,0,-9999,0,-9999
2015,1,3,20,-11,-100,10248,10,15,-9999,0,-9999
2015,1,3,21,0,-94,10246,0,0,6,0,-9999
2015,1,3,22,-11,-89,10254,350,15,-9999,0,-9999
2015,1,3,23,-17,-89,10260,290,26,-9999,0,-9999
2015,1,4,0,-28,-89,10266,0,0,2,0,-9999
2015,1,4,1,-39,-94,10271,0,0,2,0,-9999
2015,1,4,2,-33,-94,10277,0,0,-9999,0,-9999
2015,1,4,3,-50,-89,10286,260,15,6,0,-9999
2015,1,4,4,-50,-83,10289,0,0,-9999,0,-9999
2015,1,4,5,-50,-89,10284,170,31,-9999,0,-9999
2015,1,4,6,-50,-94,10284,140,31,2,0,-9999
2015,1,4,7,-50,-89,10287,160,36,-9999,0,-9999
