year,month,day,hour,air_temp[C]_scale_10,dew_point_temp[C]_scale_10,wind_direction[degrees],wind_speed_rate[meters.per.second]_scale_10,coverage_code,precipitation[millimeters]_1Hour,precipitation[millimeters]_6Hour
2017,1,1,3,22,-42,0,0,4,-9999,-9999
2017,1,1,4,48,-20,270,15,-9999,-9999,-9999
2017,1,1,5,40,0,0,0,4,-9999,-9999
2017,1,1,6,40,-5,0,0,4,-9999,-9999
2017,1,1,7,50,2,0,0,-9999,-9999,-9999
2017,1,1,8,52,11,230,31,4,-9999,-9999
2017,1,1,9,42,12,0,0,4,-9999,-9999
2017,1,1,10,36,6,10,21,-9999,-9999,-9999
2017,1,1,11,25,5,0,0,-9999,-9999,-9999
2017,1,1,12,27,22,0,0,-9999,-9999,-9999
2017,1,1,13,33,10,0,0,-9999,-9999,-9999
2017,1,1,14,43,21,0,0,4,-9999,-9999
2017,1,1,15,68,39,0,0,4,-9999,-9999
2017,1,1,16,100,60,0,0,4,-9999,-9999
2017,1,1,17,118,66,0,0,-9999,-9999,-9999
2017,1,1,18,100,37,120,21,-9999,-9999,-9999
2017,1,1,19,75,30,110,26,-9999,-9999,-9999
2017,1,1,20,86,25,0,0,4,-9999,-9999
2017,1,1,21,78,20,130,21,4,-9999,-9999
2017,1,1,22,56,48,130,21,-9999,3,-9999
2017,1,1,23,55,54,130,15,-9999,-9999,-9999
2017,1,2,0,56,56,140,36,-9999,-9999,3
2017,1,2,1,50,50,130,21,-9999,-9999,-9999
2017,1,2,2,47,47,130,31,-9999,-9999,-9999
2017,1,2,3,42,42,120,15,-9999,-9999,-9999
2017,1,2,4,43,43,0,0,-9999,-9999,-9999
2017,1,2,5,45,45,0,0,-9999,-9999,-9999
2017,1,2,6,48,48,0,0,-9999,-9999,-9999
2017,1,2,7,48,48,0,0,-9999,-9999,-9999
2017,1,2,8,50,50,0,0,-9999,-9999,-9999
2017,1,2,9,50,50,0,0,9,8,-9999
2017,1,2,10,52,52,0,0,4,20,-9999
2017,1,2,11,55,55,0,0,-9999,18,-9999
2017,1,2,12,55,55,0,0,-9999,10,56
2017,1,2,13,59,59,0,0,0,20,-9999
2017,1,2,14,61,61,0,0,9,18,-9999
2017,1,2,15,65,65,110,15,-9999,30,-9999
2017,1,2,16,73,73,90,15,-9999,3,-9999
2017,1,2,17,81,81,0,0,-9999,-9999,-9999
2017,1,2,18,88,88,0,0,-9999,-9999,74
2017,1,2,19,95,95,0,0,-9999,-9999,-9999
