Year,Day,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2019,1,7:38,7:28,6:57,7:13,6:34,6:11,6:13,6:33,6:58,7:22,7:49,7:19
2019,2,7:38,7:27,6:56,7:12,6:33,6:10,6:13,6:34,6:59,7:22,7:50,7:20
2019,3,7:38,7:26,6:55,7:10,6:32,6:10,6:14,6:35,7:00,7:23,6:51,7:21
2019,4,7:38,7:25,6:53,7:09,6:31,6:10,6:14,6:36,7:00,7:24,6:52,7:22
2019,5,7:38,7:25,6:52,7:07,6:30,6:10,6:15,6:37,7:01,7:25,6:53,7:23
2019,6,7:38,7:24,6:51,7:06,6:29,6:09,6:15,6:37,7:02,7:26,6:54,7:24
2019,7,7:38,7:23,6:49,7:05,6:28,6:09,6:16,6:38,7:03,7:27,6:55,7:24
2019,8,7:38,7:22,6:48,7:03,6:27,6:09,6:16,6:39,7:04,7:27,6:56,7:25
2019,9,7:38,7:21,6:46,7:02,6:26,6:09,6:17,6:40,7:04,7:28,6:57,7:26
2019,10,7:38,7:20,7:45,7:00,6:25,6:09,6:18,6:41,7:05,7:29,6:58,7:27
2019,11,7:38,7:19,7:44,6:59,6:24,6:09,6:18,6:41,7:06,7:30,6:59,7:28
2019,12,7:38,7:18,7:42,6:58,6:23,6:09,6:19,6:42,7:07,7:31,7:00,7:28
2019,13,7:38,7:17,7:41,6:56,6:22,6:09,6:20,6:43,7:07,7:32,7:01,7:29
2019,14,7:37,7:16,7:39,6:55,6:21,6:09,6:20,6:44,7:08,7:33,7:02,7:30
2019,15,7:37,7:14,7:38,6:54,6:21,6:09,6:21,6:45,7:09,7:33,7:03,7:30
2019,16,7:37,7:13,7:36,6:52,6:20,6:09,6:21,6:45,7:10,7:34,7:04,7:31
2019,17,7:36,7:12,7:35,6:51,6:19,6:09,6:22,6:46,7:11,7:35,7:05,7:32
2019,18,7:36,7:11,7:33,6:50,6:18,6:09,6:23,6:47,7:11,7:36,7:06,7:32
2019,19,7:36,7:10,7:32,6:48,6:18,6:09,6:24,6:48,7:12,7:37,7:07,7:33
2019,20,7:35,7:09,7:31,6:47,6:17,6:09,6:24,6:49,7:13,7:38,7:08,7:33
2019,21,7:35,7:07,7:29,6:46,6:16,6:10,6:25,6:49,7:14,7:39,7:09,7:34
2019,22,7:34,7:06,7:28,6:45,6:16,6:10,6:26,6:50,7:14,7:40,7:10,7:34
2019,23,7:34,7:05,7:26,6:43,6:15,6:10,6:26,6:51,7:15,7:41,7:11,7:35
