,year,month,day,hour,temp,dew_point,sea_level_pressure,wind_dir,wind_speed,coverage,precip_1,precip_6,in_season,concat,temp_converted
0,2015,Jan,1,0.00,-89,-172,10282,350,15,2,-9999,-9999,0.0,2015Jan1,15.98
1,2015,Jan,1,1.00,-100,-172,10277,10,21,2,0,-9999,0.0,2015Jan1,14.0
2,2015,Jan,1,2.00,-94,-172,10273,20,15,0,0,-9999,0.0,2015Jan1,15.079999999999998
3,2015,Jan,1,3.00,-100,-161,10275,0,0,0,0,-9999,0.0,2015Jan1,14.0
4,2015,Jan,1,4.00,-106,-156,10274,240,15,0,0,-9999,0.0,2015Jan1,12.920000000000002
5,2015,Jan,1,5.00,-106,-167,10258,0,0,0,0,-9999,0.0,2015Jan1,12.920000000000002
6,2015,Jan,1,6.00,-117,-161,10255,140,21,0,0,-9999,0.0,2015Jan1,10.940000000000001
7,2015,Jan,1,7.00,-122,-156,10252,170,21,0,0,-9999,0.0,2015Jan1,10.04
8,2015,Jan,1,8.00,-133,-161,10247,0,0,0,0,-9999,0.0,2015Jan1,8.059999999999999
9,2015,Jan,1,9.00,-128,-167,10239,170,15,0,0,-9999,0.0,2015Jan1,8.959999999999997
10,2015,Jan,1,10.00,-128,-161,10239,0,0,0,0,-9999,0.0,2015Jan1,8.959999999999997
11,2015,Jan,1,11.00,-128,-161,10235,0,0,0,0,-9999,0.0,2015Jan1,8.959999999999997
12,2015,Jan,1,12.00,-133,-167,10236,0,0,0,0,-9999,0.0,2015Jan1,8.059999999999999
13,2015,Jan,1,13.00,-128,-167,10236,150,15,0,0,-9999,0.0,2015Jan1,8.959999999999997
14,2015,Jan,1,14.00,-133,-156,10237,0,0,0,0,-9999,0.0,2015Jan1,8.059999999999999
15,2015,Jan,1,15.00,-139,-167,10245,0,0,2,0,-9999,0.0,2015Jan1,6.98
16,2015,Jan,1,16.00,-122,-150,10247,170,15,2,0,-9999,0.0,2015Jan1,10.04
17,2015,Jan,1,17.00,-100,-144,10249,130,21,2,0,-9999,0.0,2015Jan1,14.0
18,2015,Jan,1,18.00,-78,-139,10252,0,0,2,0,-9999,0.0,2015Jan1,17.96
19,2015,Jan,1,19.00,-61,-133,10248,240,26,2,0,-9999,0.0,2015Jan1,21.02
20,2015,Jan,1,20.00,-56,-128,10246,280,26,2,0,-9999,0.0,2015Jan1,21.92
21,2015,Jan,1,21.00,-50,-128,10242,280,21,2,0,-9999,0.0,2015Jan1,23.0
22,2015,Jan,1,22.00,-50,-128,10244,270,31,2,0,-9999,0.0,2015Jan1,23.0
23,2015,Jan,1,23.00,-56,-122,10250,280,31,2,0,-9999,0.0,2015Jan1,21.92
24,2015,Jan,2,0.00,-67,-122,10256,240,21,2,0,-9999,0.0,2015Jan2,19.939999999999998
25,2015,Jan,2,1.00,-72,-122,10260,0,0,2,0,-9999,0.0,2015Jan2,19.04
26,2015,Jan,2,2.00,-72,-122,10267,0,0,2,0,-9999,0.0,2015Jan2,19.04
27,2015,Jan,2,3.00,-83,-133,10272,0,0,2,0,-9999,0.0,2015Jan2,17.06
28,2015,Jan,2,4.00,-89,-128,10273,150,15,4,0,-9999,0.0,2015Jan2,15.98
29,2015,Jan,2,5.00,-89,-133,10275,130,26,-9999,0,-9999,0.0,2015Jan2,15.98
30,2015,Jan,2,6.00,-89,-139,10272,140,26,4,0,-9999,0.0,2015Jan2,15.98
31,2015,Jan,2,7.00,-89,-139,10266,140,36,4,0,-9999,0.0,2015Jan2,15.98
32,2015,Jan,2,8.00,-94,-144,10268,140,31,2,0,-9999,0.0,2015Jan2,15.079999999999998
33,2015,Jan,2,9.00,-94,-139,10272,140,21,2,0,-9999,0.0,2015Jan2,15.079999999999998
34,2015,Jan,2,10.00,-111,-144,10276,130,31,2,0,-9999,0.0,2015Jan2,12.02
35,2015,Jan,2,11.00,-94,-139,10269,150,46,2,0,-9999,0.0,2015Jan2,15.079999999999998
36,2015,Jan,2,12.00,-106,-144,10268,140,21,2,0,-9999,0.0,2015Jan2,12.920000000000002
37,2015,Jan,2,13.00,-111,-144,10271,140,26,2,0,-9999,0.0,2015Jan2,12.02
38,2015,Jan,2,14.00,-106,-139,10271,130,26,2,0,-9999,0.0,2015Jan2,12.920000000000002
39,2015,Jan,2,15.00,-106,-139,10274,140,31,2,0,-9999,0.0,2015Jan2,12.920000000000002
40,2015,Jan,2,16.00,-100,-139,10282,140,36,2,0,-9999,0.0,2015Jan2,14.0
41,2015,Jan,2,17.00,-83,-128,10281,170,21,2,0,-9999,0.0,2015Jan2,17.06
42,2015,Jan,2,18.00,-61,-128,10274,0,0,2,0,-9999,0.0,2015Jan2,21.02
43,2015,Jan,2,19.00,-44,-128,10259,0,0,2,0,-9999,0.0,2015Jan2,24.08
44,2015,Jan,2,20.00,-44,-122,10251,360,31,2,0,-9999,0.0,2015Jan2,24.08
45,2015,Jan,2,21.00,-39,-122,10247,350,21,2,0,-9999,0.0,2015Jan2,24.98
46,2015,Jan,2,22.00,-33,-122,10246,360,21,0,0,-9999,0.0,2015Jan2,26.060000000000002
47,2015,Jan,2,23.00,-44,-117,10239,270,15,0,0,-9999,0.0,2015Jan2,24.08
48,2015,Jan,3,0.00,-56,-122,10246,310,31,2,0,-9999,0.0,2015Jan3,21.92
49,2015,Jan,3,1.00,-67,-117,10251,320,21,2,0,-9999,0.0,2015Jan3,19.939999999999998
50,2015,Jan,3,2.00,-83,-122,10252,0,0,4,0,-9999,0.0,2015Jan3,17.06
51,2015,Jan,3,3.00,-83,-122,10257,0,0,2,0,-9999,0.0,2015Jan3,17.06
52,2015,Jan,3,4.00,-78,-117,10252,0,0,2,0,-9999,0.0,2015Jan3,17.96
53,2015,Jan,3,5.00,-78,-111,10249,0,0,-9999,0,-9999,0.0,2015Jan3,17.96
54,2015,Jan,3,6.00,-67,-117,10235,160,36,8,0,-9999,0.0,2015Jan3,19.939999999999998
55,2015,Jan,3,7.00,-67,-111,10235,130,26,-9999,0,-9999,0.0,2015Jan3,19.939999999999998
56,2015,Jan,3,8.00,-67,-111,10236,140,31,-9999,0,-9999,0.0,2015Jan3,19.939999999999998
57,2015,Jan,3,9.00,-61,-111,10230,160,26,8,0,-9999,0.0,2015Jan3,21.02
