DHBCH,concat,Unnamed: 0,year,month,day,hour,temp,dew_point,sea_level_pressure,wind_dir,wind_speed,coverage,precip_1,precip_6,in_season,temp_converted,index,sunrise,sunset,is_day,warm_enough,dry,flight_hour,cold_enough,concat3,concat_hour,num_month,month_concat,DHBFH
20.0,2017Jan1,0,2017,Jan,1,3.0,22,-42,-9999,0,0,4,-9999,-9999,0.0,35.96,0,7.37,17.23,0,0,1,,1,2017Jan11,2017Jan13.035.96,1,2017113.0,0
20.0,2017Jan1,1,2017,Jan,1,4.0,48,-20,-9999,270,15,-9999,-9999,-9999,0.0,40.64,1,7.37,17.23,0,0,1,,1,2017Jan11,2017Jan14.040.64,1,2017114.0,0
20.0,2017Jan1,2,2017,Jan,1,5.0,40,0,-9999,0,0,4,-9999,-9999,0.0,39.2,2,7.37,17.23,0,0,1,,1,2017Jan11,2017Jan15.039.2,1,2017115.0,0
20.0,2017Jan1,3,2017,Jan,1,6.0,40,-5,-9999,0,0,4,-9999,-9999,0.0,39.2,3,7.37,17.23,0,0,1,,1,2017Jan11,2017Jan16.039.2,1,2017116.0,0
20.0,2017Jan1,4,2017,Jan,1,7.0,50,2,-9999,0,0,-9999,-9999,-9999,0.0,41.0,4,7.37,17.23,0,0,1,,1,2017Jan11,2017Jan17.041.0,1,2017117.0,0
20.0,2017Jan1,5,2017,Jan,1,8.0,52,11,-9999,230,31,4,-9999,-9999,0.0,41.36,5,7.37,17.23,0,0,1,,1,2017Jan11,2017Jan18.041.36,1,2017118.0,0
20.0,2017Jan1,6,2017,Jan,1,9.0,42,12,-9999,0,0,4,-9999,-9999,0.0,39.56,6,7.37,17.23,1,0,1,,1,2017Jan11,2017Jan19.039.56,1,2017119.0,0
20.0,2017Jan1,7,2017,Jan,1,10.0,36,6,-9999,10,21,-9999,-9999,-9999,0.0,38.48,7,7.37,17.23,1,0,1,,1,2017Jan11,2017Jan110.038.48,1,20171110.0,0
20.0,2017Jan1,8,2017,Jan,1,11.0,25,5,-9999,0,0,-9999,-9999,-9999,0.0,36.5,8,7.37,17.23,1,0,1,,1,2017Jan11,2017Jan111.036.5,1,20171111.0,0
20.0,2017Jan1,9,2017,Jan,1,12.0,27,22,-9999,0,0,-9999,-9999,-9999,0.0,36.86,9,7.37,17.23,1,0,1,,1,2017Jan11,2017Jan112.036.86,1,20171112.0,0
20.0,2017Jan1,10,2017,Jan,1,13.0,33,10,-9999,0,0,-9999,-9999,-9999,0.0,37.94,10,7.37,17.23,1,0,1,,1,2017Jan11,2017Jan113.037.94,1,20171113.0,0
20.0,2017Jan1,11,2017,Jan,1,14.0,43,21,-9999,0,0,4,-9999,-9999,0.0,39.74,11,7.37,17.23,1,0,1,,1,2017Jan11,2017Jan114.039.74,1,20171114.0,0
20.0,2017Jan1,12,2017,Jan,1,15.0,68,39,-9999,0,0,4,-9999,-9999,0.0,44.24,12,7.37,17.23,1,0,1,,1,2017Jan11,2017Jan115.044.24,1,20171115.0,0
20.0,2017Jan1,13,2017,Jan,1,16.0,100,60,-9999,0,0,4,-9999,-9999,0.0,50.0,13,7.37,17.23,1,0,1,,1,2017Jan11,2017Jan116.050.0,1,20171116.0,0
20.0,2017Jan1,14,2017,Jan,1,17.0,118,66,-9999,0,0,-9999,-9999,-9999,0.0,53.24,14,7.37,17.23,0,0,1,,0,2017Jan10,2017Jan117.053.24,1,20171117.0,0
20.0,2017Jan1,15,2017,Jan,1,18.0,100,37,-9999,120,21,-9999,-9999,-9999,0.0,50.0,15,7.37,17.23,0,0,1,,1,2017Jan11,2017Jan118.050.0,1,20171118.0,0
20.0,2017Jan1,16,2017,Jan,1,19.0,75,30,-9999,110,26,-9999,-9999,-9999,0.0,45.5,16,7.37,17.23,0,0,1,,1,2017Jan11,2017Jan119.045.5,1,20171119.0,0
20.0,2017Jan1,17,2017,Jan,1,20.0,86,25,-9999,0,0,4,-9999,-9999,0.0,47.48,17,7.37,17.23,0,0,1,,1,2017Jan11,2017Jan120.047.48,1,20171120.0,0
20.0,2017Jan1,18,2017,Jan,1,21.0,78,20,-9999,130,21,4,-9999,-9999,0.0,46.04,18,7.37,17.23,0,0,1,,1,2017Jan11,2017Jan121.046.04,1,20171121.0,0
20.0,2017Jan1,19,2017,Jan,1,22.0,56,48,-9999,130,21,-9999,3,-9999,0.0,42.08,19,7.37,17.23,0,0,0,,1,2017Jan11,2017Jan122.042.08,1,20171122.0,0
20.0,2017Jan1,20,2017,Jan,1,23.0,55,54,-9999,130,15,-9999,-9999,-9999,0.0,41.9,20,7.37,17.23,0,0,1,,1,2017Jan11,2017Jan123.041.9,1,20171123.0,0
24.0,2017Jan2,21,2017,Jan,2,0.0,56,56,-9999,140,36,-9999,-9999,3,0.0,42.08,21,7.38,17.23,0,0,1,,1,2017Jan21,2017Jan20.042.08,1,2017120.0,0
24.0,2017Jan2,22,2017,Jan,2,1.0,50,50,-9999,130,21,-9999,-9999,-9999,0.0,41.0,22,7.38,17.23,0,0,1,,1,2017Jan21,2017Jan21.041.0,1,2017121.0,0
24.0,2017Jan2,23,2017,Jan,2,2.0,47,47,-9999,130,31,-9999,-9999,-9999,0.0,40.46,23,7.38,17.23,0,0,1,,1,2017Jan21,2017Jan22.040.46,1,2017122.0,0
24.0,2017Jan2,24,2017,Jan,2,3.0,42,42,-9999,120,15,-9999,-9999,-9999,0.0,39.56,24,7.38,17.23,0,0,1,,1,2017Jan21,2017Jan23.039.56,1,2017123.0,0
