DHBCH,concat,Unnamed: 0,year,month,day,hour,temp,dew_point,sea_level_pressure,wind_dir,wind_speed,coverage,precip_1,precip_6,in_season,temp_converted,index,sunrise,sunset,is_day,warm_enough,dry,flight_hour,cold_enough,concat3,concat_hour,num_month,month_concat,DHBFH
20.0,2016Jan1,0,2016,Jan,1,0.0,106,28,10211,290,15,0,-9999,-9999,0.0,51.08,0,7.11,16.53,0,0,1,,0,2016Jan10,2016Jan10.051.08,1,2016110.0,0
20.0,2016Jan1,1,2016,Jan,1,1.0,100,28,10214,0,0,0,0,-9999,0.0,50.0,1,7.11,16.53,0,0,0,,1,2016Jan11,2016Jan11.050.0,1,2016111.0,0
20.0,2016Jan1,2,2016,Jan,1,2.0,78,28,10214,0,0,0,0,-9999,0.0,46.04,2,7.11,16.53,0,0,0,,1,2016Jan11,2016Jan12.046.04,1,2016112.0,0
20.0,2016Jan1,3,2016,Jan,1,3.0,67,28,10216,0,0,0,0,-9999,0.0,44.06,3,7.11,16.53,0,0,0,,1,2016Jan11,2016Jan13.044.06,1,2016113.0,0
20.0,2016Jan1,4,2016,Jan,1,4.0,56,28,10219,310,15,0,0,-9999,0.0,42.08,4,7.11,16.53,0,0,0,,1,2016Jan11,2016Jan14.042.08,1,2016114.0,0
20.0,2016Jan1,5,2016,Jan,1,5.0,39,22,10220,0,0,0,0,-9999,0.0,39.02,5,7.11,16.53,0,0,0,,1,2016Jan11,2016Jan15.039.02,1,2016115.0,0
20.0,2016Jan1,6,2016,Jan,1,6.0,33,17,10218,0,0,0,0,-9999,0.0,37.94,6,7.11,16.53,0,0,0,,1,2016Jan11,2016Jan16.037.94,1,2016116.0,0
20.0,2016Jan1,7,2016,Jan,1,7.0,22,11,10214,0,0,0,0,-9999,0.0,35.96,7,7.11,16.53,0,0,0,,1,2016Jan11,2016Jan17.035.96,1,2016117.0,0
20.0,2016Jan1,8,2016,Jan,1,8.0,11,0,10212,60,15,2,0,-9999,0.0,33.98,8,7.11,16.53,0,0,0,,1,2016Jan11,2016Jan18.033.98,1,2016118.0,0
20.0,2016Jan1,9,2016,Jan,1,9.0,11,-6,10209,60,15,4,0,-9999,0.0,33.98,9,7.11,16.53,1,0,0,,1,2016Jan11,2016Jan19.033.98,1,2016119.0,0
20.0,2016Jan1,10,2016,Jan,1,10.0,6,-6,10207,0,0,4,0,-9999,0.0,33.08,10,7.11,16.53,1,0,0,,1,2016Jan11,2016Jan110.033.08,1,20161110.0,0
20.0,2016Jan1,11,2016,Jan,1,11.0,0,-17,10206,0,0,4,0,-9999,0.0,32.0,11,7.11,16.53,1,0,0,,1,2016Jan11,2016Jan111.032.0,1,20161111.0,0
20.0,2016Jan1,12,2016,Jan,1,12.0,0,-17,10203,0,0,4,0,-9999,0.0,32.0,12,7.11,16.53,1,0,0,,1,2016Jan11,2016Jan112.032.0,1,20161112.0,0
20.0,2016Jan1,13,2016,Jan,1,13.0,-6,-22,10204,30,21,4,0,-9999,0.0,30.92,13,7.11,16.53,1,0,0,,1,2016Jan11,2016Jan113.030.92,1,20161113.0,0
20.0,2016Jan1,14,2016,Jan,1,14.0,-11,-22,10206,70,15,4,0,-9999,0.0,30.02,14,7.11,16.53,1,0,0,,1,2016Jan11,2016Jan114.030.02,1,20161114.0,0
20.0,2016Jan1,15,2016,Jan,1,15.0,-17,-28,10212,280,15,4,0,-9999,0.0,28.94,15,7.11,16.53,1,0,0,,1,2016Jan11,2016Jan115.028.94,1,20161115.0,0
20.0,2016Jan1,16,2016,Jan,1,16.0,-6,-17,10218,300,15,0,0,-9999,0.0,30.92,16,7.11,16.53,0,0,0,,1,2016Jan11,2016Jan116.030.92,1,20161116.0,0
20.0,2016Jan1,17,2016,Jan,1,17.0,17,-6,10224,0,0,0,0,-9999,0.0,35.06,17,7.11,16.53,0,0,0,,1,2016Jan11,2016Jan117.035.06,1,20161117.0,0
20.0,2016Jan1,18,2016,Jan,1,18.0,44,11,10230,290,15,0,0,-9999,0.0,39.92,18,7.11,16.53,0,0,0,,1,2016Jan11,2016Jan118.039.92,1,20161118.0,0
20.0,2016Jan1,19,2016,Jan,1,19.0,67,11,10229,0,0,0,0,-9999,0.0,44.06,19,7.11,16.53,0,0,0,,1,2016Jan11,2016Jan119.044.06,1,20161119.0,0
20.0,2016Jan1,20,2016,Jan,1,20.0,89,11,10222,0,0,0,0,-9999,0.0,48.02,20,7.11,16.53,0,0,0,,1,2016Jan11,2016Jan120.048.02,1,20161120.0,0
20.0,2016Jan1,21,2016,Jan,1,21.0,106,-11,10215,190,31,0,0,-9999,0.0,51.08,21,7.11,16.53,0,0,0,,0,2016Jan10,2016Jan121.051.08,1,20161121.0,0
20.0,2016Jan1,22,2016,Jan,1,22.0,106,-11,10209,0,0,0,0,-9999,0.0,51.08,22,7.11,16.53,0,0,0,,0,2016Jan10,2016Jan122.051.08,1,20161122.0,0
20.0,2016Jan1,23,2016,Jan,1,23.0,111,-11,10206,0,0,0,0,-9999,0.0,51.98,23,7.11,16.53,0,0,0,,0,2016Jan10,2016Jan123.051.98,1,20161123.0,0
19.0,2016Jan2,24,2016,Jan,2,0.0,111,-6,10205,0,0,4,0,-9999,0.0,51.98,24,7.11,16.54,0,0,0,,0,2016Jan20,2016Jan20.051.98,1,2016120.0,0
