DHBCH,concat,Unnamed: 0,year,month,day,hour,temp,dew_point,sea_level_pressure,wind_dir,wind_speed,coverage,precip_1,precip_6,in_season,temp_converted,index,sunrise,sunset,is_day,warm_enough,dry,flight_hour,cold_enough,concat3,concat_hour,num_month,month_concat,DHBFH
24.0,2018Jan1,0,2018,Jan,1,0.0,-39,-217,10274,30,46,8,-9999,-9999,0.0,24.98,0,7.24,17.11,0,0,1,,1,2018Jan11,2018Jan10.024.98,1,2018110.0,0
24.0,2018Jan1,1,2018,Jan,1,1.0,-39,-211,10275,50,41,-9999,0,-9999,0.0,24.98,1,7.24,17.11,0,0,0,,1,2018Jan11,2018Jan11.024.98,1,2018111.0,0
24.0,2018Jan1,2,2018,Jan,1,2.0,-39,-211,10280,30,46,-9999,0,-9999,0.0,24.98,2,7.24,17.11,0,0,0,,1,2018Jan11,2018Jan12.024.98,1,2018112.0,0
24.0,2018Jan1,3,2018,Jan,1,3.0,-44,-217,10288,50,46,-9999,0,-9999,0.0,24.08,3,7.24,17.11,0,0,0,,1,2018Jan11,2018Jan13.024.08,1,2018113.0,0
24.0,2018Jan1,4,2018,Jan,1,4.0,-50,-206,10293,40,46,-9999,0,-9999,0.0,23.0,4,7.24,17.11,0,0,0,,1,2018Jan11,2018Jan14.023.0,1,2018114.0,0
24.0,2018Jan1,5,2018,Jan,1,5.0,-50,-189,10294,30,36,-9999,0,-9999,0.0,23.0,5,7.24,17.11,0,0,0,,1,2018Jan11,2018Jan15.023.0,1,2018115.0,0
24.0,2018Jan1,6,2018,Jan,1,6.0,-50,-183,10293,30,46,8,0,-9999,0.0,23.0,6,7.24,17.11,0,0,0,,1,2018Jan11,2018Jan16.023.0,1,2018116.0,0
24.0,2018Jan1,7,2018,Jan,1,7.0,-56,-178,10300,40,57,-9999,0,-9999,0.0,21.92,7,7.24,17.11,0,0,0,,1,2018Jan11,2018Jan17.021.92,1,2018117.0,0
24.0,2018Jan1,8,2018,Jan,1,8.0,-67,-178,10304,40,46,-9999,0,-9999,0.0,19.94,8,7.24,17.11,0,0,0,,1,2018Jan11,2018Jan18.019.94,1,2018118.0,0
24.0,2018Jan1,9,2018,Jan,1,9.0,-78,-172,10311,50,36,-9999,0,-9999,0.0,17.96,9,7.24,17.11,1,0,0,,1,2018Jan11,2018Jan19.017.96,1,2018119.0,0
24.0,2018Jan1,10,2018,Jan,1,10.0,-89,-172,10312,60,41,2,0,-9999,0.0,15.98,10,7.24,17.11,1,0,0,,1,2018Jan11,2018Jan110.015.98,1,20181110.0,0
24.0,2018Jan1,11,2018,Jan,1,11.0,-89,-172,10317,50,41,2,0,-9999,0.0,15.98,11,7.24,17.11,1,0,0,,1,2018Jan11,2018Jan111.015.98,1,20181111.0,0
24.0,2018Jan1,12,2018,Jan,1,12.0,-100,-167,10326,40,26,4,0,-9999,0.0,14.0,12,7.24,17.11,1,0,0,,1,2018Jan11,2018Jan112.014.0,1,20181112.0,0
24.0,2018Jan1,13,2018,Jan,1,13.0,-100,-161,10333,20,15,4,0,-9999,0.0,14.0,13,7.24,17.11,1,0,0,,1,2018Jan11,2018Jan113.014.0,1,20181113.0,0
24.0,2018Jan1,14,2018,Jan,1,14.0,-89,-161,10340,20,26,4,0,-9999,0.0,15.98,14,7.24,17.11,1,0,0,,1,2018Jan11,2018Jan114.015.98,1,20181114.0,0
24.0,2018Jan1,15,2018,Jan,1,15.0,-67,-161,10346,10,41,4,0,-9999,0.0,19.94,15,7.24,17.11,1,0,0,,1,2018Jan11,2018Jan115.019.94,1,20181115.0,0
24.0,2018Jan1,16,2018,Jan,1,16.0,-56,-178,10348,30,51,4,0,-9999,0.0,21.92,16,7.24,17.11,1,0,0,,1,2018Jan11,2018Jan116.021.92,1,20181116.0,0
24.0,2018Jan1,17,2018,Jan,1,17.0,-39,-189,10339,-9999,31,-9999,0,-9999,0.0,24.98,17,7.24,17.11,0,0,0,,1,2018Jan11,2018Jan117.024.98,1,20181117.0,0
24.0,2018Jan1,18,2018,Jan,1,18.0,-39,-200,10327,30,46,6,0,-9999,0.0,24.98,18,7.24,17.11,0,0,0,,1,2018Jan11,2018Jan118.024.98,1,20181118.0,0
24.0,2018Jan1,19,2018,Jan,1,19.0,-33,-206,10318,30,41,-9999,0,-9999,0.0,26.06,19,7.24,17.11,0,0,0,,1,2018Jan11,2018Jan119.026.06,1,20181119.0,0
24.0,2018Jan1,20,2018,Jan,1,20.0,-28,-211,10314,-9999,31,4,0,-9999,0.0,26.96,20,7.24,17.11,0,0,0,,1,2018Jan11,2018Jan120.026.96,1,20181120.0,0
24.0,2018Jan1,21,2018,Jan,1,21.0,-28,-206,10316,350,36,4,0,-9999,0.0,26.96,21,7.24,17.11,0,0,0,,1,2018Jan11,2018Jan121.026.96,1,20181121.0,0
24.0,2018Jan1,22,2018,Jan,1,22.0,-33,-206,10320,-9999,26,4,0,-9999,0.0,26.06,22,7.24,17.11,0,0,0,,1,2018Jan11,2018Jan122.026.06,1,20181122.0,0
24.0,2018Jan1,23,2018,Jan,1,23.0,-50,-194,10327,-9999,15,4,0,-9999,0.0,23.0,23,7.24,17.11,0,0,0,,1,2018Jan11,2018Jan123.023.0,1,20181123.0,0
24.0,2018Jan2,24,2018,Jan,2,0.0,-61,-194,10333,0,0,2,0,-9999,0.0,21.02,24,7.24,17.12,0,0,0,,1,2018Jan21,2018Jan20.021.02,1,2018120.0,0
24.0,2018Jan2,25,2018,Jan,2,1.0,-61,-189,10335,0,0,2,0,-9999,0.0,21.02,25,7.24,17.12,0,0,0,,1,2018Jan21,2018Jan21.021.02,1,2018121.0,0
24.0,2018Jan2,26,2018,Jan,2,2.0,-83,-183,10337,0,0,0,0,-9999,0.0,17.06,26,7.24,17.12,0,0,0,,1,2018Jan21,2018Jan22.017.06,1,2018122.0,0
24.0,2018Jan2,27,2018,Jan,2,3.0,-72,-183,10340,0,0,0,0,-9999,0.0,19.04,27,7.24,17.12,0,0,0,,1,2018Jan21,2018Jan23.019.04,1,2018123.0,0
24.0,2018Jan2,28,2018,Jan,2,4.0,-72,-183,10343,-9999,21,0,0,-9999,0.0,19.04,28,7.24,17.12,0,0,0,,1,2018Jan21,2018Jan24.019.04,1,2018124.0,0
24.0,2018Jan2,29,2018,Jan,2,5.0,-78,-178,10343,-9999,15,0,0,-9999,0.0,17.96,29,7.24,17.12,0,0,0,,1,2018Jan21,2018Jan25.017.96,1,2018125.0,0
24.0,2018Jan2,30,2018,Jan,2,6.0,-83,-178,10342,-9999,15,0,0,-9999,0.0,17.06,30,7.24,17.12,0,0,0,,1,2018Jan21,2018Jan26.017.06,1,2018126.0,0
24.0,2018Jan2,31,2018,Jan,2,7.0,-94,-178,10346,350,15,0,0,-9999,0.0,15.079999999999998,31,7.24,17.12,0,0,0,,1,2018Jan21,2018Jan27.015.079999999999998,1,2018127.0,0
24.0,2018Jan2,32,2018,Jan,2,8.0,-94,-178,10350,10,21,0,0,-9999,0.0,15.079999999999998,32,7.24,17.12,0,0,0,,1,2018Jan21,2018Jan28.015.079999999999998,1,2018128.0,0
24.0,2018Jan2,33,2018,Jan,2,9.0,-100,-178,10350,10,15,0,0,-9999,0.0,14.0,33,7.24,17.12,1,0,0,,1,2018Jan21,2018Jan29.014.0,1,2018129.0,0
24.0,2018Jan2,34,2018,Jan,2,10.0,-106,-178,10354,20,21,0,0,-9999,0.0,12.920000000000002,34,7.24,17.12,1,0,0,,1,2018Jan21,2018Jan210.012.920000000000002,1,20181210.0,0
24.0,2018Jan2,35,2018,Jan,2,11.0,-106,-178,10360,-9999,15,0,0,-9999,0.0,12.920000000000002,35,7.24,17.12,1,0,0,,1,2018Jan21,2018Jan211.012.920000000000002,1,20181211.0,0
24.0,2018Jan2,36,2018,Jan,2,12.0,-106,-183,10365,0,0,0,0,-9999,0.0,12.920000000000002,36,7.24,17.12,1,0,0,,1,2018Jan21,2018Jan212.012.920000000000002,1,20181212.0,0
24.0,2018Jan2,37,2018,Jan,2,13.0,-106,-178,10369,10,15,2,0,-9999,0.0,12.920000000000002,37,7.24,17.12,1,0,0,,1,2018Jan21,2018Jan213.012.920000000000002,1,20181213.0,0
24.0,2018Jan2,38,2018,Jan,2,14.0,-89,-172,10376,10,26,2,0,-9999,0.0,15.98,38,7.24,17.12,1,0,0,,1,2018Jan21,2018Jan214.015.98,1,20181214.0,0
24.0,2018Jan2,39,2018,Jan,2,15.0,-78,-178,10379,40,36,2,0,-9999,0.0,17.96,39,7.24,17.12,1,0,0,,1,2018Jan21,2018Jan215.017.96,1,20181215.0,0
24.0,2018Jan2,40,2018,Jan,2,16.0,-67,-183,10375,-9999,26,2,0,-9999,0.0,19.94,40,7.24,17.12,1,0,0,,1,2018Jan21,2018Jan216.019.94,1,20181216.0,0
24.0,2018Jan2,41,2018,Jan,2,17.0,-44,-189,10365,310,21,2,0,-9999,0.0,24.08,41,7.24,17.12,0,0,0,,1,2018Jan21,2018Jan217.024.08,1,20181217.0,0
24.0,2018Jan2,42,2018,Jan,2,18.0,-28,-183,10349,-9999,26,2,0,-9999,0.0,26.96,42,7.24,17.12,0,0,0,,1,2018Jan21,2018Jan218.026.96,1,20181218.0,0
24.0,2018Jan2,43,2018,Jan,2,19.0,-22,-194,10337,0,0,2,0,-9999,0.0,28.04,43,7.24,17.12,0,0,0,,1,2018Jan21,2018Jan219.028.04,1,20181219.0,0
24.0,2018Jan2,44,2018,Jan,2,20.0,-6,-194,10330,230,26,2,0,-9999,0.0,30.92,44,7.24,17.12,0,0,0,,1,2018Jan21,2018Jan220.030.92,1,20181220.0,0
24.0,2018Jan2,45,2018,Jan,2,21.0,-11,-211,10328,0,0,2,0,-9999,0.0,30.02,45,7.24,17.12,0,0,0,,1,2018Jan21,2018Jan221.030.02,1,20181221.0,0
24.0,2018Jan2,46,2018,Jan,2,22.0,-17,-200,10324,180,15,2,0,-9999,0.0,28.94,46,7.24,17.12,0,0,0,,1,2018Jan21,2018Jan222.028.94,1,20181222.0,0
24.0,2018Jan2,47,2018,Jan,2,23.0,-44,-194,10324,-9999,15,2,0,-9999,0.0,24.08,47,7.24,17.12,0,0,0,,1,2018Jan21,2018Jan223.024.08,1,20181223.0,0
24.0,2018Jan3,48,2018,Jan,3,0.0,-61,-183,10321,0,0,2,0,-9999,0.0,21.02,48,7.24,17.13,0,0,0,,1,2018Jan31,2018Jan30.021.02,1,2018130.0,0
24.0,2018Jan3,49,2018,Jan,3,1.0,-67,-178,10319,0,0,2,0,-9999,0.0,19.94,49,7.24,17.13,0,0,0,,1,2018Jan31,2018Jan31.019.94,1,2018131.0,0
24.0,2018Jan3,50,2018,Jan,3,2.0,-78,-172,10318,0,0,0,0,-9999,0.0,17.96,50,7.24,17.13,0,0,0,,1,2018Jan31,2018Jan32.017.96,1,2018132.0,0
24.0,2018Jan3,51,2018,Jan,3,3.0,-89,-172,10314,60,15,0,0,-9999,0.0,15.98,51,7.24,17.13,0,0,0,,1,2018Jan31,2018Jan33.015.98,1,2018133.0,0
24.0,2018Jan3,52,2018,Jan,3,4.0,-94,-167,10310,0,0,0,0,-9999,0.0,15.079999999999998,52,7.24,17.13,0,0,0,,1,2018Jan31,2018Jan34.015.079999999999998,1,2018134.0,0
24.0,2018Jan3,53,2018,Jan,3,5.0,-94,-167,10306,0,0,2,0,-9999,0.0,15.079999999999998,53,7.24,17.13,0,0,0,,1,2018Jan31,2018Jan35.015.079999999999998,1,2018135.0,0
