year,month,day,hour,temp,dew_point,sea_level_pressure,wind_dir,wind_speed,coverage,precip_1,precip_6,in_season,temp_converted,sunrise,sunset,is_day,warm_enough,dry,cold_enough,flight_hour,cold_enough,DHBFH,AHBFH,AHBFD,DHBCH,AHBCH,AHBCD
2017,Jan,1,3.0,22,-42,-9999,0,0,4,-9999,-9999,0.0,35.96,7.37,17.23,0,0,1,1,,1,0,1547,217,20.0,3503.0,223
2017,Jan,2,0.0,56,56,-9999,140,36,-9999,-9999,3,0.0,42.08,7.38,17.23,0,0,1,1,,1,0,1547,217,24.0,3503.0,223
2017,Jan,3,0.0,67,67,-9999,0,0,-9999,-9999,-9999,0.0,44.06,7.38,17.24,0,0,1,1,,1,0,1547,217,19.0,3503.0,223
2017,Jan,4,0.0,117,92,-9999,290,57,4,3,3,0.0,53.06,7.38,17.25,0,0,0,0,,0,0,1547,217,16.0,3503.0,223
2017,Jan,5,0.0,1,-108,-9999,290,98,0,-9999,-9999,0.0,32.18,7.38,17.26,0,0,1,1,,1,0,1547,217,24.0,3503.0,223
2017,Jan,6,0.0,-2,-83,-9999,0,0,-9999,-9999,-9999,0.0,31.64,7.38,17.27,0,0,1,1,,1,0,1547,217,24.0,3503.0,223
2017,Jan,7,0.0,-47,-70,-9999,0,0,-9999,-9999,-9999,0.0,23.54,7.38,17.28,0,0,1,1,,1,0,1547,217,24.0,3503.0,223
2017,Jan,8,0.0,-115,-151,-9999,300,103,0,-9999,-9999,0.0,11.3,7.38,17.29,0,0,1,1,,1,0,1547,217,24.0,3503.0,223
2017,Jan,9,0.0,-125,-170,-9999,310,41,0,-9999,-9999,0.0,9.5,7.38,17.3,0,0,1,1,,1,0,1547,217,24.0,3503.0,223
2017,Jan,10,0.0,-69,-142,-9999,210,15,0,-9999,-9999,0.0,19.58,7.38,17.3,0,0,1,1,,1,0,1547,217,24.0,3503.0,223
2017,Jan,11,0.0,-2,-85,-9999,0,0,0,-9999,-9999,0.0,31.64,7.37,17.31,0,0,1,1,,1,0,1547,217,24.0,3503.0,223
2017,Jan,12,16.0,136,73,-9999,0,0,0,-9999,-9999,0.0,56.48,7.37,17.32,1,1,1,0,1.0,0,1,1547,217,15.0,3503.0,223
2017,Jan,13,9.0,139,98,-9999,280,51,4,-9999,-9999,0.0,57.02,7.37,17.33,1,1,1,0,1.0,0,8,1547,217,4.0,3503.0,223
2017,Jan,14,0.0,128,106,-9999,280,15,0,-9999,-9999,0.0,55.040000000000006,7.37,17.34,0,1,1,0,,0,0,1547,217,15.0,3503.0,223
2017,Jan,15,0.0,135,93,-9999,290,31,0,-9999,-9999,0.0,56.3,7.36,17.35,0,1,1,0,,0,0,1547,217,0.0,3503.0,223
2017,Jan,16,0.0,105,105,-9999,0,0,4,-9999,8,0.0,50.90000000000001,7.36,17.36,0,0,1,0,,0,0,1547,217,16.0,3503.0,223
2017,Jan,17,15.0,130,79,-9999,250,26,-9999,-9999,-9999,0.0,55.40000000000001,7.36,17.37,1,1,1,0,1.0,0,2,1547,217,11.0,3503.0,223
2017,Jan,18,0.0,133,96,-9999,240,51,0,3,3,0.0,55.94,7.35,17.38,0,1,0,0,,0,0,1547,217,8.0,3503.0,223
2017,Jan,19,0.0,80,20,-9999,290,31,0,-9999,-9999,0.0,46.4,7.35,17.39,0,0,1,1,,1,0,1547,217,16.0,3503.0,223
2017,Jan,20,0.0,102,3,-9999,150,21,4,-9999,-9999,0.0,50.36,7.35,17.4,0,0,1,0,,0,0,1547,217,18.0,3503.0,223
2017,Jan,21,0.0,81,81,-9999,0,0,0,-9999,-9999,0.0,46.58,7.34,17.41,0,0,1,1,,1,0,1547,217,19.0,3503.0,223
2017,Jan,22,0.0,91,91,-9999,0,0,-9999,-9999,8,0.0,48.38,7.34,17.42,0,0,1,1,,1,0,1547,217,19.0,3503.0,223
2017,Jan,23,0.0,88,88,-9999,110,26,9,-9999,-9999,0.0,47.84,7.33,17.44,0,0,1,1,,1,0,1547,217,24.0,3503.0,223
2017,Jan,24,0.0,62,50,-9999,330,31,-9999,-9999,5,0.0,43.16,7.32,17.45,0,0,1,1,,1,0,1547,217,24.0,3503.0,223
2017,Jan,25,16.0,137,-62,-9999,270,51,0,-9999,-9999,0.0,56.66,7.32,17.46,1,1,1,0,1.0,0,1,1547,217,15.0,3503.0,223
2017,Jan,26,0.0,85,12,-9999,0,0,0,-9999,-9999,0.0,47.3,7.31,17.47,0,0,1,1,,1,0,1547,217,23.0,3503.0,223
