year,month,day,hour,temp,dew_point,sea_level_pressure,wind_dir,wind_speed,coverage,precip_1,precip_6,in_season,temp_converted,sunrise,sunset,is_day,warm_enough,dry,cold_enough,flight_hour,cold_enough,DHBFH,AHBFH,AHBFD,DHBCH,AHBCH,AHBCD
2016,Jan,1,0.0,106,28,10211,290,15,0,-9999,-9999,0.0,51.08,7.11,16.53,0,0,1,0,,0,0,2467,263,20.0,1548.0,129
2016,Jan,2,0.0,111,-6,10205,0,0,4,0,-9999,0.0,51.98,7.11,16.54,0,0,0,0,,0,0,2467,263,19.0,1548.0,129
2016,Jan,3,0.0,117,6,10166,0,0,6,0,-9999,0.0,53.06,7.11,16.55,0,0,0,0,,0,0,2467,263,18.0,1548.0,129
2016,Jan,4,0.0,144,11,10098,70,26,6,0,-9999,0.0,57.92,7.12,16.56,0,1,0,0,,0,0,2467,263,18.0,1548.0,129
2016,Jan,5,0.0,117,50,10095,0,0,6,3,5,0.0,53.06,7.12,16.56,0,0,0,0,,0,0,2467,263,10.0,1548.0,129
2016,Jan,6,0.0,111,89,10074,270,82,8,15,50,0.0,51.98,7.12,16.57,0,0,0,0,,0,0,2467,263,20.0,1548.0,129
2016,Jan,7,0.0,94,72,10073,160,41,8,46,60,0.0,48.92,7.12,16.58,0,0,0,1,,1,0,2467,263,21.0,1548.0,129
2016,Jan,8,0.0,117,44,10142,270,41,6,0,-9999,0.0,53.06,7.12,16.59,0,0,0,0,,0,0,2467,263,23.0,1548.0,129
2016,Jan,9,0.0,78,56,10210,110,26,8,0,-9999,0.0,46.04,7.12,17.0,0,0,0,1,,1,0,2467,263,19.0,1548.0,129
2016,Jan,10,0.0,106,67,10214,220,46,8,-1,3,0.0,51.08,7.11,17.01,0,0,0,0,,0,0,2467,263,18.0,1548.0,129
2016,Jan,11,0.0,139,61,10229,0,0,4,0,-9999,0.0,57.02,7.11,17.02,0,1,0,0,,0,0,2467,263,15.0,1548.0,129
2016,Jan,12,0.0,144,78,10256,0,0,6,0,-9999,0.0,57.92,7.11,17.03,0,1,0,0,,0,0,2467,263,18.0,1548.0,129
2016,Jan,13,0.0,133,61,10214,150,15,6,-9999,-9999,0.0,55.94,7.11,17.04,0,1,1,0,,0,0,2467,263,15.0,1548.0,129
2016,Jan,14,0.0,167,61,10208,140,21,6,0,-9999,0.0,62.06,7.11,17.05,0,1,0,0,,0,0,2467,263,18.0,1548.0,129
2016,Jan,15,0.0,106,67,10199,80,26,8,0,-9999,0.0,51.08,7.1,17.06,0,0,0,0,,0,0,2467,263,15.0,1548.0,129
2016,Jan,16,0.0,156,56,10189,300,26,6,0,-9999,0.0,60.08,7.1,17.07,0,1,0,0,,0,0,2467,263,13.0,1548.0,129
2016,Jan,17,0.0,167,67,10220,0,0,6,0,-9999,0.0,62.06,7.1,17.08,0,1,0,0,,0,0,2467,263,11.0,1548.0,129
2016,Jan,18,0.0,156,94,10208,110,26,6,0,-9999,0.0,60.08,7.09,17.09,0,1,0,0,,0,0,2467,263,0.0,1548.0,129
2016,Jan,19,0.0,161,94,10223,110,31,6,0,-9999,0.0,60.98,7.09,17.1,0,1,0,0,,0,0,2467,263,8.0,1548.0,129
2016,Jan,20,0.0,144,122,10190,100,46,6,5,70,0.0,57.92,7.09,17.11,0,1,0,0,,0,0,2467,263,8.0,1548.0,129
2016,Jan,21,0.0,161,111,10231,310,21,6,0,-9999,0.0,60.98,7.08,17.12,0,1,0,0,,0,0,2467,263,12.0,1548.0,129
2016,Jan,22,0.0,150,106,10203,210,15,6,0,-9999,0.0,59.0,7.08,17.13,0,1,0,0,,0,0,2467,263,10.0,1548.0,129
2016,Jan,23,9.0,128,94,10163,90,51,-9999,-1,-9999,0.0,55.040000000000006,7.07,17.14,1,1,0,0,1.0,0,2,2467,263,1.0,1548.0,129
2016,Jan,24,0.0,150,61,10175,300,46,4,0,8,0.0,59.0,7.06,17.15,0,1,0,0,,0,0,2467,263,14.0,1548.0,129
