DHBCH,concat,Unnamed: 0,year,month,day,hour,temp,dew_point,sea_level_pressure,wind_dir,wind_speed,coverage,precip_1,precip_6,in_season,temp_converted,index,sunrise,sunset,is_day,warm_enough,dry,flight_hour,cold_enough,concat3,concat_hour,num_month,month_concat,DHBFH
7.0,2018Apr12,2423,2018,Apr,12,0.0,228,39,10123,250,31,8,0,-9999,0.0,73.03999999999998,2423,6.29,19.31,0,1,0,,0,2018Apr120,2018Apr120.073.03999999999998,4,20184120.0,0
7.0,2018Apr12,2424,2018,Apr,12,1.0,206,39,10126,330,88,-9999,0,-9999,0.0,69.08000000000001,2424,6.29,19.31,0,1,0,,0,2018Apr120,2018Apr121.069.08000000000001,4,20184121.0,0
7.0,2018Apr12,2425,2018,Apr,12,2.0,189,28,10127,320,82,-9999,0,-9999,0.0,66.02,2425,6.29,19.31,0,1,0,,0,2018Apr120,2018Apr122.066.02,4,20184122.0,0
7.0,2018Apr12,2426,2018,Apr,12,3.0,167,33,10133,320,67,-9999,0,-9999,0.0,62.06,2426,6.29,19.31,0,1,0,,0,2018Apr120,2018Apr123.062.06,4,20184123.0,0
7.0,2018Apr12,2427,2018,Apr,12,4.0,161,50,10140,310,77,-9999,0,-9999,0.0,60.98,2427,6.29,19.31,0,1,0,,0,2018Apr120,2018Apr124.060.98,4,20184124.0,0
7.0,2018Apr12,2428,2018,Apr,12,5.0,144,22,10149,290,67,-9999,0,-9999,0.0,57.92,2428,6.29,19.31,0,1,0,,0,2018Apr120,2018Apr125.057.92,4,20184125.0,0
7.0,2018Apr12,2429,2018,Apr,12,6.0,139,44,10161,350,36,2,0,-9999,0.0,57.02,2429,6.29,19.31,0,1,0,,0,2018Apr120,2018Apr126.057.02,4,20184126.0,0
7.0,2018Apr12,2430,2018,Apr,12,7.0,133,61,10165,320,67,-9999,0,-9999,0.0,55.94,2430,6.29,19.31,0,1,0,,0,2018Apr120,2018Apr127.055.94,4,20184127.0,0
7.0,2018Apr12,2431,2018,Apr,12,8.0,111,61,10176,320,88,-9999,-1,-9999,0.0,51.98,2431,6.29,19.31,1,0,0,,0,2018Apr120,2018Apr128.051.98,4,20184128.0,0
7.0,2018Apr12,2432,2018,Apr,12,9.0,100,67,10180,330,57,-9999,-1,-9999,0.0,50.0,2432,6.29,19.31,1,0,0,,1,2018Apr121,2018Apr129.050.0,4,20184129.0,0
7.0,2018Apr12,2433,2018,Apr,12,10.0,100,50,10182,320,62,4,0,-9999,0.0,50.0,2433,6.29,19.31,1,0,0,,1,2018Apr121,2018Apr1210.050.0,4,201841210.0,0
7.0,2018Apr12,2434,2018,Apr,12,11.0,94,44,10184,310,57,0,0,-9999,0.0,48.92,2434,6.29,19.31,1,0,0,,1,2018Apr121,2018Apr1211.048.92,4,201841211.0,0
7.0,2018Apr12,2435,2018,Apr,12,12.0,94,50,10190,310,67,0,0,0,0.0,48.92,2435,6.29,19.31,1,0,0,,1,2018Apr121,2018Apr1212.048.92,4,201841212.0,0
7.0,2018Apr12,2436,2018,Apr,12,13.0,89,44,10201,320,72,2,0,-9999,0.0,48.02,2436,6.29,19.31,1,0,0,,1,2018Apr121,2018Apr1213.048.02,4,201841213.0,0
7.0,2018Apr12,2437,2018,Apr,12,14.0,83,44,10212,330,51,2,0,-9999,0.0,46.94,2437,6.29,19.31,1,0,0,,1,2018Apr121,2018Apr1214.046.94,4,201841214.0,0
