DHBCH,concat,Unnamed: 0,year,month,day,hour,temp,dew_point,sea_level_pressure,wind_dir,wind_speed,coverage,precip_1,precip_6,in_season,temp_converted,index,sunrise,sunset,is_day,warm_enough,dry,flight_hour,cold_enough,concat3,concat_hour,num_month,month_concat,DHBFH
17.0,2016Apr10,2400,2016,Apr,10,0.0,72,-111,10199,310,36,4,0,-9999,0.0,44.96,2400,6.47,19.44,0,0,0,,1,2016Apr101,2016Apr100.044.96,4,20164100.0,0
17.0,2016Apr10,2401,2016,Apr,10,1.0,61,-94,10213,330,26,4,0,-9999,0.0,42.98,2401,6.47,19.44,0,0,0,,1,2016Apr101,2016Apr101.042.98,4,20164101.0,0
17.0,2016Apr10,2402,2016,Apr,10,2.0,50,-100,10229,-9999,21,2,0,-9999,0.0,41.0,2402,6.47,19.44,0,0,0,,1,2016Apr101,2016Apr102.041.0,4,20164102.0,0
17.0,2016Apr10,2403,2016,Apr,10,3.0,44,-100,10234,-9999,21,0,0,-9999,0.0,39.92,2403,6.47,19.44,0,0,0,,1,2016Apr101,2016Apr103.039.92,4,20164103.0,0
17.0,2016Apr10,2404,2016,Apr,10,4.0,39,-100,10241,-9999,31,0,0,-9999,0.0,39.02,2404,6.47,19.44,0,0,0,,1,2016Apr101,2016Apr104.039.02,4,20164104.0,0
17.0,2016Apr10,2405,2016,Apr,10,5.0,33,-100,10249,-9999,21,0,0,-9999,0.0,37.94,2405,6.47,19.44,0,0,0,,1,2016Apr101,2016Apr105.037.94,4,20164105.0,0
17.0,2016Apr10,2406,2016,Apr,10,6.0,22,-94,10258,360,15,0,0,-9999,0.0,35.96,2406,6.47,19.44,0,0,0,,1,2016Apr101,2016Apr106.035.96,4,20164106.0,0
17.0,2016Apr10,2407,2016,Apr,10,7.0,17,-89,10258,20,26,0,0,-9999,0.0,35.06,2407,6.47,19.44,0,0,0,,1,2016Apr101,2016Apr107.035.06,4,20164107.0,0
17.0,2016Apr10,2408,2016,Apr,10,8.0,11,-83,10263,0,0,0,0,-9999,0.0,33.98,2408,6.47,19.44,1,0,0,,1,2016Apr101,2016Apr108.033.98,4,20164108.0,0
17.0,2016Apr10,2409,2016,Apr,10,9.0,6,-83,10263,60,15,0,0,-9999,0.0,33.08,2409,6.47,19.44,1,0,0,,1,2016Apr101,2016Apr109.033.08,4,20164109.0,0
