DHBCH,concat,Unnamed: 0,year,month,day,hour,temp,dew_point,sea_level_pressure,wind_dir,wind_speed,coverage,precip_1,precip_6,in_season,temp_converted,index,sunrise,sunset,is_day,warm_enough,dry,flight_hour,cold_enough,concat3,concat_hour,num_month,month_concat,DHBFH
8.0,2018Apr10,2375,2018,Apr,10,0.0,161,-39,10231,340,36,4,0,-9999,0.0,60.98,2375,6.56,20.01,0,1,0,,0,2018Apr100,2018Apr100.060.98,4,20184100.0,0
8.0,2018Apr10,2376,2018,Apr,10,1.0,150,-28,10236,360,46,-9999,0,-9999,0.0,59.0,2376,6.56,20.01,0,1,0,,0,2018Apr100,2018Apr101.059.0,4,20184101.0,0
8.0,2018Apr10,2377,2018,Apr,10,2.0,133,-6,10238,360,41,4,0,-9999,0.0,55.94,2377,6.56,20.01,0,1,0,,0,2018Apr100,2018Apr102.055.94,4,20184102.0,0
8.0,2018Apr10,2378,2018,Apr,10,3.0,122,-11,10239,360,31,4,0,-9999,0.0,53.96,2378,6.56,20.01,0,0,0,,0,2018Apr100,2018Apr103.053.96,4,20184103.0,0
8.0,2018Apr10,2379,2018,Apr,10,4.0,122,-17,10240,140,15,4,0,-9999,0.0,53.96,2379,6.56,20.01,0,0,0,,0,2018Apr100,2018Apr104.053.96,4,20184104.0,0
8.0,2018Apr10,2380,2018,Apr,10,5.0,111,-11,10233,140,36,2,0,-9999,0.0,51.98,2380,6.56,20.01,0,0,0,,0,2018Apr100,2018Apr105.051.98,4,20184105.0,0
8.0,2018Apr10,2381,2018,Apr,10,6.0,106,-6,10230,140,31,2,0,-9999,0.0,51.08,2381,6.56,20.01,0,0,0,,0,2018Apr100,2018Apr106.051.08,4,20184106.0,0
8.0,2018Apr10,2382,2018,Apr,10,7.0,100,-11,10229,130,36,0,0,-9999,0.0,50.0,2382,6.56,20.01,0,0,0,,1,2018Apr101,2018Apr107.050.0,4,20184107.0,0
8.0,2018Apr10,2383,2018,Apr,10,8.0,94,-11,10228,160,41,2,0,-9999,0.0,48.92,2383,6.56,20.01,1,0,0,,1,2018Apr101,2018Apr108.048.92,4,20184108.0,0
8.0,2018Apr10,2384,2018,Apr,10,9.0,78,-6,10233,120,26,2,0,-9999,0.0,46.04,2384,6.56,20.01,1,0,0,,1,2018Apr101,2018Apr109.046.04,4,20184109.0,0
8.0,2018Apr10,2385,2018,Apr,10,10.0,78,-6,10231,140,31,0,0,-9999,0.0,46.04,2385,6.56,20.01,1,0,0,,1,2018Apr101,2018Apr1010.046.04,4,201841010.0,0
8.0,2018Apr10,2386,2018,Apr,10,11.0,83,0,10222,160,41,0,0,-9999,0.0,46.94,2386,6.56,20.01,1,0,0,,1,2018Apr101,2018Apr1011.046.94,4,201841011.0,0
8.0,2018Apr10,2387,2018,Apr,10,12.0,83,-6,10220,140,46,2,0,-9999,0.0,46.94,2387,6.56,20.01,1,0,0,,1,2018Apr101,2018Apr1012.046.94,4,201841012.0,0
8.0,2018Apr10,2388,2018,Apr,10,13.0,94,0,10219,160,51,-9999,0,-9999,0.0,48.92,2388,6.56,20.01,1,0,0,,1,2018Apr101,2018Apr1013.048.92,4,201841013.0,0
8.0,2018Apr10,2389,2018,Apr,10,14.0,94,0,10223,130,46,-9999,0,-9999,0.0,48.92,2389,6.56,20.01,1,0,0,,1,2018Apr101,2018Apr1014.048.92,4,201841014.0,0
