Unnamed: 0,year,month,day,hour,temp,dew_point,sea_level_pressure,wind_dir,wind_speed,coverage,precip_1,precip_6,in_season,concat,temp_converted,index,sunrise,sunset,is_day,warm_enough,dry,flight_hour,cold_enough,accum_day,concat3,concat_hour,num_month,month_concat
0,2018,Jan,1,0.0,183,22,10174,0,0,4,-9999,-9999,0.0,2018Jan1,64.94,0,7.11,16.54,0,1,1,,0,2018Jan1nan,2018Jan10,2018Jan10.064.94,1,2018110.0
1,2018,Jan,1,1.0,150,44,10178,300,26,2,0,-9999,0.0,2018Jan1,59.0,1,7.11,16.54,0,1,0,,0,2018Jan1nan,2018Jan10,2018Jan11.059.0,1,2018111.0
2,2018,Jan,1,2.0,139,44,10187,300,15,4,0,-9999,0.0,2018Jan1,57.02,2,7.11,16.54,0,1,0,,0,2018Jan1nan,2018Jan10,2018Jan12.057.02,1,2018112.0
3,2018,Jan,1,3.0,128,50,10195,320,15,4,0,-9999,0.0,2018Jan1,55.040000000000006,3,7.11,16.54,0,1,0,,0,2018Jan1nan,2018Jan10,2018Jan13.055.040000000000006,1,2018113.0
4,2018,Jan,1,4.0,111,44,10200,0,0,2,0,-9999,0.0,2018Jan1,51.98,4,7.11,16.54,0,0,0,,1,2018Jan1nan,2018Jan11,2018Jan14.051.98,1,2018114.0
5,2018,Jan,1,5.0,100,39,10203,0,0,-9999,0,-9999,0.0,2018Jan1,50.0,5,7.11,16.54,0,0,0,,1,2018Jan1nan,2018Jan11,2018Jan15.050.0,1,2018115.0
6,2018,Jan,1,6.0,106,50,10205,330,15,6,0,-9999,0.0,2018Jan1,51.08,6,7.11,16.54,0,0,0,,1,2018Jan1nan,2018Jan11,2018Jan16.051.08,1,2018116.0
7,2018,Jan,1,7.0,89,50,10212,280,15,2,0,-9999,0.0,2018Jan1,48.02,7,7.11,16.54,0,0,0,,1,2018Jan1nan,2018Jan11,2018Jan17.048.02,1,2018117.0
8,2018,Jan,1,8.0,83,56,10216,320,15,2,0,-9999,0.0,2018Jan1,46.94,8,7.11,16.54,0,0,0,,1,2018Jan1nan,2018Jan11,2018Jan18.046.94,1,2018118.0
9,2018,Jan,1,9.0,78,44,10218,0,0,0,0,-9999,0.0,2018Jan1,46.04,9,7.11,16.54,1,0,0,,1,2018Jan1nan,2018Jan11,2018Jan19.046.04,1,2018119.0
