Unnamed: 0,year,month,day,hour,temp,dew_point,sea_level_pressure,wind_dir,wind_speed,coverage,precip_1,precip_6,in_season,concat,temp_converted,index,sunrise,sunset,is_day,warm_enough,dry,flight_hour,cold_enough,accum_day,concat3,concat_hour,num_month,month_concat
0,2019,Jan,1,0.0,172,167,10184,220,51,8,-9999,0,0.0,2019Jan1,62.96,0,7.24,17.11,0,1,1,,0,2019Jan1nan,2019Jan10,2019Jan10.062.96,1,2019110.0
1,2019,Jan,1,1.0,178,172,10183,220,62,-9999,-1,-9999,0.0,2019Jan1,64.03999999999999,1,7.24,17.11,0,1,0,,0,2019Jan1nan,2019Jan10,2019Jan11.064.03999999999999,1,2019111.0
2,2019,Jan,1,2.0,183,172,10174,200,57,-9999,-1,-9999,0.0,2019Jan1,64.94,2,7.24,17.11,0,1,0,,0,2019Jan1nan,2019Jan10,2019Jan12.064.94,1,2019112.0
3,2019,Jan,1,3.0,189,178,10167,210,72,-9999,0,-9999,0.0,2019Jan1,66.02,3,7.24,17.11,0,1,0,,0,2019Jan1nan,2019Jan10,2019Jan13.066.02,1,2019113.0
4,2019,Jan,1,4.0,189,178,10161,210,77,-9999,0,-9999,0.0,2019Jan1,66.02,4,7.24,17.11,0,1,0,,0,2019Jan1nan,2019Jan10,2019Jan14.066.02,1,2019114.0
5,2019,Jan,1,5.0,194,178,10145,210,72,-9999,0,-9999,0.0,2019Jan1,66.92,5,7.24,17.11,0,1,0,,0,2019Jan1nan,2019Jan10,2019Jan15.066.92,1,2019115.0
6,2019,Jan,1,6.0,194,178,10152,240,67,6,0,-1,0.0,2019Jan1,66.92,6,7.24,17.11,0,1,0,,0,2019Jan1nan,2019Jan10,2019Jan16.066.92,1,2019116.0
7,2019,Jan,1,7.0,194,178,10146,220,67,-9999,0,-9999,0.0,2019Jan1,66.92,7,7.24,17.11,0,1,0,,0,2019Jan1nan,2019Jan10,2019Jan17.066.92,1,2019117.0
8,2019,Jan,1,8.0,194,172,10141,220,62,-9999,0,-9999,0.0,2019Jan1,66.92,8,7.24,17.11,0,1,0,,0,2019Jan1nan,2019Jan10,2019Jan18.066.92,1,2019118.0
9,2019,Jan,1,9.0,189,172,10144,230,77,-9999,0,-9999,0.0,2019Jan1,66.02,9,7.24,17.11,1,1,0,1,0,2019Jan11,2019Jan10,2019Jan19.066.02,1,2019119.0
10,2019,Jan,1,10.0,189,172,10140,230,82,-9999,0,-9999,0.0,2019Jan1,66.02,10,7.24,17.11,1,1,0,1,0,2019Jan11,2019Jan10,2019Jan110.066.02,1,20191110.0
11,2019,Jan,1,11.0,183,172,10139,230,62,-9999,0,-9999,0.0,2019Jan1,64.94,11,7.24,17.11,1,1,0,1,0,2019Jan11,2019Jan10,2019Jan111.064.94,1,20191111.0
12,2019,Jan,1,12.0,189,172,10149,250,57,6,0,-9999,0.0,2019Jan1,66.02,12,7.24,17.11,1,1,0,1,0,2019Jan11,2019Jan10,2019Jan112.066.02,1,20191112.0
13,2019,Jan,1,13.0,189,172,10159,250,36,-9999,0,-9999,0.0,2019Jan1,66.02,13,7.24,17.11,1,1,0,1,0,2019Jan11,2019Jan10,2019Jan113.066.02,1,20191113.0
14,2019,Jan,1,14.0,189,172,10170,240,36,-9999,0,-9999,0.0,2019Jan1,66.02,14,7.24,17.11,1,1,0,1,0,2019Jan11,2019Jan10,2019Jan114.066.02,1,20191114.0
15,2019,Jan,1,15.0,194,172,10174,250,31,-9999,0,-9999,0.0,2019Jan1,66.92,15,7.24,17.11,1,1,0,1,0,2019Jan11,2019Jan10,2019Jan115.066.92,1,20191115.0
16,2019,Jan,1,16.0,200,161,10168,300,36,-9999,0,-9999,0.0,2019Jan1,68.0,16,7.24,17.11,1,1,0,1,0,2019Jan11,2019Jan10,2019Jan116.068.0,1,20191116.0
17,2019,Jan,1,17.0,206,122,10165,280,41,-9999,0,-9999,0.0,2019Jan1,69.08000000000001,17,7.24,17.11,0,1,0,,0,2019Jan1nan,2019Jan10,2019Jan117.069.08000000000001,1,20191117.0
18,2019,Jan,1,18.0,211,89,10165,290,41,6,0,-9999,0.0,2019Jan1,69.98,18,7.24,17.11,0,1,0,,0,2019Jan1nan,2019Jan10,2019Jan118.069.98,1,20191118.0
19,2019,Jan,1,19.0,194,89,10168,-9999,26,-9999,0,-9999,0.0,2019Jan1,66.92,19,7.24,17.11,0,1,0,,0,2019Jan1nan,2019Jan10,2019Jan119.066.92,1,20191119.0
20,2019,Jan,1,20.0,189,83,10175,-9999,15,-9999,0,-9999,0.0,2019Jan1,66.02,20,7.24,17.11,0,1,0,,0,2019Jan1nan,2019Jan10,2019Jan120.066.02,1,20191120.0
21,2019,Jan,1,21.0,194,83,10180,290,15,-9999,0,-9999,0.0,2019Jan1,66.92,21,7.24,17.11,0,1,0,,0,2019Jan1nan,2019Jan10,2019Jan121.066.92,1,20191121.0
22,2019,Jan,1,22.0,172,100,10184,0,0,-9999,0,-9999,0.0,2019Jan1,62.96,22,7.24,17.11,0,1,0,,0,2019Jan1nan,2019Jan10,2019Jan122.062.96,1,20191122.0
23,2019,Jan,1,23.0,156,100,10195,330,15,-9999,0,-9999,0.0,2019Jan1,60.08,23,7.24,17.11,0,1,0,,0,2019Jan1nan,2019Jan10,2019Jan123.060.08,1,20191123.0
24,2019,Jan,2,0.0,150,94,10205,0,0,8,0,-9999,0.0,2019Jan2,59.0,24,7.24,17.12,0,1,0,,0,2019Jan2nan,2019Jan20,2019Jan20.059.0,1,2019120.0
25,2019,Jan,2,1.0,150,89,10210,0,0,-9999,0,-9999,0.0,2019Jan2,59.0,25,7.24,17.12,0,1,0,,0,2019Jan2nan,2019Jan20,2019Jan21.059.0,1,2019121.0
26,2019,Jan,2,2.0,128,94,10212,0,0,-9999,0,-9999,0.0,2019Jan2,55.040000000000006,26,7.24,17.12,0,1,0,,0,2019Jan2nan,2019Jan20,2019Jan22.055.040000000000006,1,2019122.0
