Unnamed: 0,year,month,day,hour,temp,dew_point,sea_level_pressure,wind_dir,wind_speed,coverage,precip_1,precip_6,in_season,concat,temp_converted,index,sunrise,sunset
0,2015,Jan,1,0.0,67,0,10203,150,46,6,-9999,-9999,0.0,2015Jan1,44.06,0,7.11,16.53
1,2015,Jan,1,1.0,61,6,10205,140,57,-9999,0,-9999,0.0,2015Jan1,42.98,1,7.11,16.53
2,2015,Jan,1,2.0,50,0,10208,150,26,4,0,-9999,0.0,2015Jan1,41.0,2,7.11,16.53
3,2015,Jan,1,3.0,44,6,10206,160,36,2,0,-9999,0.0,2015Jan1,39.92,3,7.11,16.53
4,2015,Jan,1,4.0,33,0,10205,80,21,-9999,0,-9999,0.0,2015Jan1,37.94,4,7.11,16.53
5,2015,Jan,1,5.0,28,0,10205,0,0,-9999,0,-9999,0.0,2015Jan1,37.04,5,7.11,16.53
6,2015,Jan,1,6.0,17,-6,10206,80,15,2,0,-9999,0.0,2015Jan1,35.06,6,7.11,16.53
7,2015,Jan,1,7.0,17,-6,10202,80,26,0,0,-9999,0.0,2015Jan1,35.06,7,7.11,16.53
8,2015,Jan,1,8.0,6,-11,10200,70,21,0,0,-9999,0.0,2015Jan1,33.08,8,7.11,16.53
9,2015,Jan,1,9.0,11,-6,10197,80,36,0,0,-9999,0.0,2015Jan1,33.98,9,7.11,16.53
10,2015,Jan,1,10.0,6,-11,10201,0,0,0,0,-9999,0.0,2015Jan1,33.08,10,7.11,16.53
11,2015,Jan,1,11.0,-6,-22,10201,0,0,0,0,-9999,0.0,2015Jan1,30.92,11,7.11,16.53
12,2015,Jan,1,12.0,-6,-22,10198,0,0,0,0,-9999,0.0,2015Jan1,30.92,12,7.11,16.53
13,2015,Jan,1,13.0,-6,-22,10200,50,15,0,0,-9999,0.0,2015Jan1,30.92,13,7.11,16.53
14,2015,Jan,1,14.0,-6,-22,10202,0,0,0,0,-9999,0.0,2015Jan1,30.92,14,7.11,16.53
15,2015,Jan,1,15.0,-11,-28,10208,0,0,0,0,-9999,0.0,2015Jan1,30.02,15,7.11,16.53
16,2015,Jan,1,16.0,-11,-22,10218,0,0,0,0,-9999,0.0,2015Jan1,30.02,16,7.11,16.53
