Unnamed: 0,year,month,day,hour,temp,dew_point,sea_level_pressure,wind_dir,wind_speed,coverage,precip_1,precip_6,in_season,concat,temp_converted,index,sunrise,sunset
0,2017,Jan,1,0.0,83,-72,10206,220,72,8,-9999,-9999,0.0,2017Jan1,46.94,0,7.24,17.12
1,2017,Jan,1,1.0,83,-72,10203,220,67,-9999,0,-9999,0.0,2017Jan1,46.94,1,7.24,17.12
2,2017,Jan,1,2.0,78,-61,10200,230,51,-9999,0,-9999,0.0,2017Jan1,46.04,2,7.24,17.12
3,2017,Jan,1,3.0,78,-61,10201,220,62,-9999,0,-9999,0.0,2017Jan1,46.04,3,7.24,17.12
4,2017,Jan,1,4.0,78,-56,10203,230,67,-9999,0,-9999,0.0,2017Jan1,46.04,4,7.24,17.12
5,2017,Jan,1,5.0,78,-50,10202,230,67,-9999,0,-9999,0.0,2017Jan1,46.04,5,7.24,17.12
6,2017,Jan,1,6.0,78,-44,10203,240,62,8,0,-9999,0.0,2017Jan1,46.04,6,7.24,17.12
7,2017,Jan,1,7.0,78,-33,10199,220,57,-9999,0,-9999,0.0,2017Jan1,46.04,7,7.24,17.12
8,2017,Jan,1,8.0,78,-33,10203,240,41,-9999,0,-9999,0.0,2017Jan1,46.04,8,7.24,17.12
9,2017,Jan,1,9.0,78,-33,10204,230,57,-9999,0,-9999,0.0,2017Jan1,46.04,9,7.24,17.12
10,2017,Jan,1,10.0,67,-6,10207,240,51,-9999,-1,-9999,0.0,2017Jan1,44.06,10,7.24,17.12
11,2017,Jan,1,11.0,56,33,10215,230,67,-9999,3,-9999,0.0,2017Jan1,42.08,11,7.24,17.12
12,2017,Jan,1,12.0,50,39,10224,240,31,8,10,8,0.0,2017Jan1,41.0,12,7.24,17.12
13,2017,Jan,1,13.0,50,39,10225,220,46,-9999,20,-9999,0.0,2017Jan1,41.0,13,7.24,17.12
14,2017,Jan,1,14.0,56,50,10229,230,31,-9999,13,-9999,0.0,2017Jan1,42.08,14,7.24,17.12
15,2017,Jan,1,15.0,72,61,-9999,230,31,-9999,10,-9999,0.0,2017Jan1,44.96,15,7.24,17.12
16,2017,Jan,1,16.0,89,78,10238,250,21,-9999,0,-9999,0.0,2017Jan1,48.02,16,7.24,17.12
17,2017,Jan,1,17.0,89,78,10237,230,31,-9999,3,-9999,0.0,2017Jan1,48.02,17,7.24,17.12
18,2017,Jan,1,18.0,89,83,10231,250,15,8,8,60,0.0,2017Jan1,48.02,18,7.24,17.12
19,2017,Jan,1,19.0,94,83,10230,180,15,-9999,20,-9999,0.0,2017Jan1,48.92,19,7.24,17.12
20,2017,Jan,1,20.0,94,83,10233,0,0,-9999,8,-9999,0.0,2017Jan1,48.92,20,7.24,17.12
21,2017,Jan,1,21.0,94,83,10236,0,0,-9999,10,-9999,0.0,2017Jan1,48.92,21,7.24,17.12
22,2017,Jan,1,22.0,100,89,10240,0,0,-9999,-1,-9999,0.0,2017Jan1,50.0,22,7.24,17.12
23,2017,Jan,1,23.0,100,89,10245,0,0,-9999,-1,-9999,0.0,2017Jan1,50.0,23,7.24,17.12
24,2017,Jan,2,0.0,100,89,10251,130,21,8,-1,40,0.0,2017Jan2,50.0,24,7.24,17.12
25,2017,Jan,2,1.0,100,94,10253,130,15,-9999,5,-9999,0.0,2017Jan2,50.0,25,7.24,17.12
26,2017,Jan,2,2.0,100,94,10253,130,21,-9999,10,-9999,0.0,2017Jan2,50.0,26,7.24,17.12
27,2017,Jan,2,3.0,100,94,10251,120,21,-9999,8,-9999,0.0,2017Jan2,50.0,27,7.24,17.12
28,2017,Jan,2,4.0,100,94,10251,130,31,-9999,10,-9999,0.0,2017Jan2,50.0,28,7.24,17.12
29,2017,Jan,2,5.0,100,94,10246,110,26,-9999,-1,-9999,0.0,2017Jan2,50.0,29,7.24,17.12
30,2017,Jan,2,6.0,106,100,10238,90,26,8,10,40,0.0,2017Jan2,51.08,30,7.24,17.12
31,2017,Jan,2,7.0,106,100,10237,40,15,-9999,38,-9999,0.0,2017Jan2,51.08,31,7.24,17.12
32,2017,Jan,2,8.0,100,94,10239,40,26,-9999,51,-9999,0.0,2017Jan2,50.0,32,7.24,17.12
33,2017,Jan,2,9.0,100,94,10238,20,15,-9999,28,-9999,0.0,2017Jan2,50.0,33,7.24,17.12
34,2017,Jan,2,10.0,94,89,10234,40,31,-9999,15,-9999,0.0,2017Jan2,48.92,34,7.24,17.12
35,2017,Jan,2,11.0,100,89,10233,50,21,-9999,5,-9999,0.0,2017Jan2,50.0,35,7.24,17.12
36,2017,Jan,2,12.0,100,89,10234,50,31,8,10,150,0.0,2017Jan2,50.0,36,7.24,17.12
37,2017,Jan,2,13.0,100,94,10236,30,21,-9999,15,-9999,0.0,2017Jan2,50.0,37,7.24,17.12
38,2017,Jan,2,14.0,100,89,10241,20,21,-9999,74,-9999,0.0,2017Jan2,50.0,38,7.24,17.12
39,2017,Jan,2,15.0,100,94,10245,20,15,-9999,18,-9999,0.0,2017Jan2,50.0,39,7.24,17.12
40,2017,Jan,2,16.0,100,89,-9999,30,36,-9999,2,-9999,0.0,2017Jan2,50.0,40,7.24,17.12
41,2017,Jan,2,17.0,94,83,10233,30,31,-9999,3,-9999,0.0,2017Jan2,48.92,41,7.24,17.12
42,2017,Jan,2,18.0,94,83,10227,340,21,8,-1,120,0.0,2017Jan2,48.92,42,7.24,17.12
43,2017,Jan,2,19.0,94,83,10224,-9999,31,-9999,0,-9999,0.0,2017Jan2,48.92,43,7.24,17.12
44,2017,Jan,2,20.0,94,83,10221,30,31,-9999,0,-9999,0.0,2017Jan2,48.92,44,7.24,17.12
45,2017,Jan,2,21.0,89,83,10224,30,36,-9999,0,-9999,0.0,2017Jan2,48.02,45,7.24,17.12
46,2017,Jan,2,22.0,89,78,10228,30,31,-9999,0,-9999,0.0,2017Jan2,48.02,46,7.24,17.12
47,2017,Jan,2,23.0,89,78,10219,50,21,-9999,0,-9999,0.0,2017Jan2,48.02,47,7.24,17.12
48,2017,Jan,3,0.0,89,78,10227,-9999,15,8,-1,-9999,0.0,2017Jan3,48.02,48,7.24,17.13
49,2017,Jan,3,1.0,83,78,10220,30,26,-9999,-1,-9999,0.0,2017Jan3,46.94,49,7.24,17.13
50,2017,Jan,3,2.0,83,78,10219,30,36,-9999,-1,-9999,0.0,2017Jan3,46.94,50,7.24,17.13
51,2017,Jan,3,3.0,83,78,10212,50,31,-9999,-1,-9999,0.0,2017Jan3,46.94,51,7.24,17.13
52,2017,Jan,3,4.0,83,78,10211,40,21,-9999,-1,-9999,0.0,2017Jan3,46.94,52,7.24,17.13
53,2017,Jan,3,5.0,83,78,10200,50,21,-9999,-1,-9999,0.0,2017Jan3,46.94,53,7.24,17.13
54,2017,Jan,3,6.0,83,78,10187,40,26,8,-1,-1,0.0,2017Jan3,46.94,54,7.24,17.13
55,2017,Jan,3,7.0,83,78,10171,50,41,-9999,5,-9999,0.0,2017Jan3,46.94,55,7.24,17.13
56,2017,Jan,3,8.0,83,78,10158,50,26,-9999,20,-9999,0.0,2017Jan3,46.94,56,7.24,17.13
57,2017,Jan,3,9.0,83,78,10152,70,26,-9999,-1,-9999,0.0,2017Jan3,46.94,57,7.24,17.13
58,2017,Jan,3,10.0,83,78,10136,80,26,-9999,3,-9999,0.0,2017Jan3,46.94,58,7.24,17.13
59,2017,Jan,3,11.0,83,78,10117,70,26,-9999,51,-9999,0.0,2017Jan3,46.94,59,7.24,17.13
60,2017,Jan,3,12.0,83,78,10124,0,0,8,-1,80,0.0,2017Jan3,46.94,60,7.24,17.13
61,2017,Jan,3,13.0,83,78,10116,20,15,-9999,-1,-9999,0.0,2017Jan3,46.94,61,7.24,17.13
62,2017,Jan,3,14.0,83,78,10119,-9999,15,-9999,-1,-9999,0.0,2017Jan3,46.94,62,7.24,17.13
63,2017,Jan,3,15.0,83,78,10121,0,0,-9999,0,-9999,0.0,2017Jan3,46.94,63,7.24,17.13
64,2017,Jan,3,16.0,94,89,10111,0,0,-9999,0,-9999,0.0,2017Jan3,48.92,64,7.24,17.13
65,2017,Jan,3,17.0,100,94,10099,250,15,-9999,0,-9999,0.0,2017Jan3,50.0,65,7.24,17.13
66,2017,Jan,3,18.0,100,100,10087,250,21,8,0,-1,0.0,2017Jan3,50.0,66,7.24,17.13
67,2017,Jan,3,19.0,106,100,10073,230,26,-9999,0,-9999,0.0,2017Jan3,51.08,67,7.24,17.13
68,2017,Jan,3,20.0,111,106,10068,250,15,-9999,0,-9999,0.0,2017Jan3,51.98,68,7.24,17.13
69,2017,Jan,3,21.0,111,106,10066,240,41,-9999,0,-9999,0.0,2017Jan3,51.98,69,7.24,17.13
70,2017,Jan,3,22.0,117,111,10056,240,31,-9999,0,-9999,0.0,2017Jan3,53.06,70,7.24,17.13
71,2017,Jan,3,23.0,122,111,10055,240,51,-9999,0,-9999,0.0,2017Jan3,53.96,71,7.24,17.13
72,2017,Jan,4,0.0,122,111,10061,240,36,8,0,-9999,0.0,2017Jan4,53.96,72,7.25,17.14
73,2017,Jan,4,1.0,128,111,10056,230,41,-9999,0,-9999,0.0,2017Jan4,55.040000000000006,73,7.25,17.14
74,2017,Jan,4,2.0,128,111,10046,280,21,-9999,0,-9999,0.0,2017Jan4,55.040000000000006,74,7.25,17.14
75,2017,Jan,4,3.0,122,117,10048,240,31,-9999,0,-9999,0.0,2017Jan4,53.96,75,7.25,17.14
76,2017,Jan,4,4.0,128,117,10049,240,21,-9999,0,-9999,0.0,2017Jan4,55.040000000000006,76,7.25,17.14
77,2017,Jan,4,5.0,128,117,10043,240,26,-9999,0,-9999,0.0,2017Jan4,55.040000000000006,77,7.25,17.14
78,2017,Jan,4,6.0,128,117,10039,230,31,6,0,-9999,0.0,2017Jan4,55.040000000000006,78,7.25,17.14
79,2017,Jan,4,7.0,122,117,10038,230,31,-9999,0,-9999,0.0,2017Jan4,53.96,79,7.25,17.14
80,2017,Jan,4,8.0,128,117,10037,260,26,-9999,0,-9999,0.0,2017Jan4,55.040000000000006,80,7.25,17.14
81,2017,Jan,4,9.0,122,117,10035,240,31,-9999,0,-9999,0.0,2017Jan4,53.96,81,7.25,17.14
82,2017,Jan,4,10.0,133,122,10035,240,31,-9999,0,-9999,0.0,2017Jan4,55.94,82,7.25,17.14
83,2017,Jan,4,11.0,128,122,10038,250,15,-9999,0,-9999,0.0,2017Jan4,55.040000000000006,83,7.25,17.14
84,2017,Jan,4,12.0,133,122,10045,250,21,6,0,-9999,0.0,2017Jan4,55.94,84,7.25,17.14
85,2017,Jan,4,13.0,128,117,10048,230,21,-9999,0,-9999,0.0,2017Jan4,55.040000000000006,85,7.25,17.14
