Unnamed: 0,year,month,day,hour,temp,dew_point,sea_level_pressure,wind_dir,wind_speed,coverage,precip_1,precip_6,in_season,concat,temp_converted,index,sunrise,sunset
0,2018,Jan,1,0.0,17,-56,10263,310,21,6,-9999,-9999,0.0,2018Jan1,35.06,0,7.51,17.1
1,2018,Jan,1,1.0,0,-61,10271,320,15,-9999,0,-9999,0.0,2018Jan1,32.0,1,7.51,17.1
2,2018,Jan,1,2.0,6,-61,10273,260,15,4,0,-9999,0.0,2018Jan1,33.08,2,7.51,17.1
3,2018,Jan,1,3.0,-6,-72,10275,0,0,4,0,-9999,0.0,2018Jan1,30.92,3,7.51,17.1
4,2018,Jan,1,4.0,-11,-56,10277,0,0,4,0,-9999,0.0,2018Jan1,30.02,4,7.51,17.1
5,2018,Jan,1,5.0,-11,-56,10277,0,0,4,0,-9999,0.0,2018Jan1,30.02,5,7.51,17.1
6,2018,Jan,1,6.0,-11,-56,10275,120,21,2,0,-9999,0.0,2018Jan1,30.02,6,7.51,17.1
7,2018,Jan,1,7.0,-11,-50,10273,0,0,2,0,-9999,0.0,2018Jan1,30.02,7,7.51,17.1
8,2018,Jan,1,8.0,-33,-67,10277,0,0,2,0,-9999,0.0,2018Jan1,26.06,8,7.51,17.1
9,2018,Jan,1,9.0,-28,-61,10279,50,15,4,0,-9999,0.0,2018Jan1,26.96,9,7.51,17.1
10,2018,Jan,1,10.0,-28,-61,10279,0,0,4,0,-9999,0.0,2018Jan1,26.96,10,7.51,17.1
11,2018,Jan,1,11.0,-33,-61,10279,160,26,2,0,-9999,0.0,2018Jan1,26.06,11,7.51,17.1
12,2018,Jan,1,12.0,-28,-61,10279,360,15,2,0,-9999,0.0,2018Jan1,26.96,12,7.51,17.1
13,2018,Jan,1,13.0,-44,-67,10288,10,21,4,0,-9999,0.0,2018Jan1,24.08,13,7.51,17.1
14,2018,Jan,1,14.0,-44,-61,10290,0,0,4,0,-9999,0.0,2018Jan1,24.08,14,7.51,17.1
15,2018,Jan,1,15.0,-44,-61,10296,0,0,6,0,-9999,0.0,2018Jan1,24.08,15,7.51,17.1
16,2018,Jan,1,16.0,-39,-56,10297,130,21,-9999,0,-9999,0.0,2018Jan1,24.98,16,7.51,17.1
17,2018,Jan,1,17.0,-11,-50,10293,130,26,-9999,0,-9999,0.0,2018Jan1,30.02,17,7.51,17.1
18,2018,Jan,1,18.0,11,-56,10291,0,0,6,0,-9999,0.0,2018Jan1,33.98,18,7.51,17.1
19,2018,Jan,1,19.0,39,-50,10285,340,21,4,0,-9999,0.0,2018Jan1,39.02,19,7.51,17.1
20,2018,Jan,1,20.0,44,-44,10282,320,26,4,0,-9999,0.0,2018Jan1,39.92,20,7.51,17.1
