DHBCH,concat
19,2017Apr10
9,2017Apr1
13,2017Apr11
9,2017Apr12
14,2017Apr14
16,2017Apr15
13,2017Apr16
16,2017Apr19
12,2017Apr20
19,2017Apr2
19,2017Apr21
13,2017Apr22
4,2017Apr23
6,2017Apr24
22,2017Apr25
15,2017Apr26
23,2017Apr27
24,2017Apr28
18,2017Apr29
13,2017Apr30
23,2017Apr3
24,2017Apr4
19,2017Apr5
11,2017Apr6
11,2017Apr8
24,2017Apr9
24,2017Dec10
22,2017Dec1
24,2017Dec11
24,2017Dec12
24,2017Dec13
24,2017Dec14
24,2017Dec15
24,2017Dec16
24,2017Dec17
24,2017Dec18
24,2017Dec19
16,2017Dec20
24,2017Dec2
24,2017Dec21
24,2017Dec22
24,2017Dec23
24,2017Dec24
24,2017Dec25
24,2017Dec26
24,2017Dec27
24,2017Dec28
24,2017Dec29
24,2017Dec30
16,2017Dec3
24,2017Dec31
24,2017Dec4
24,2017Dec5
24,2017Dec6
24,2017Dec7
24,2017Dec8
24,2017Dec9
6,2017Feb10
24,2017Feb1
24,2017Feb11
24,2017Feb12
24,2017Feb13
24,2017Feb14
24,2017Feb15
19,2017Feb16
19,2017Feb17
18,2017Feb18
19,2017Feb19
17,2017Feb20
24,2017Feb2
23,2017Feb22
24,2017Feb23
24,2017Feb24
24,2017Feb25
24,2017Feb26
24,2017Feb27
24,2017Feb28
24,2017Feb3
20,2017Feb4
18,2017Feb5
19,2017Feb6
20,2017Feb7
12,2017Feb8
5,2017Feb9
24,2017Jan10
24,2017Jan1
24,2017Jan11
24,2017Jan12
24,2017Jan13
24,2017Jan14
24,2017Jan15
24,2017Jan16
24,2017Jan17
24,2017Jan18
24,2017Jan19
24,2017Jan20
24,2017Jan2
24,2017Jan21
24,2017Jan22
24,2017Jan23
24,2017Jan24
24,2017Jan25
24,2017Jan26
24,2017Jan27
24,2017Jan28
24,2017Jan29
24,2017Jan30
24,2017Jan3
23,2017Jan31
24,2017Jan4
24,2017Jan5
24,2017Jan6
24,2017Jan7
24,2017Jan8
24,2017Jan9
1,2017Jun13
10,2017Mar10
24,2017Mar1
13,2017Mar11
12,2017Mar12
13,2017Mar13
8,2017Mar14
6,2017Mar15
1,2017Mar16
7,2017Mar17
2,2017Mar19
2,2017Mar20
24,2017Mar2
18,2017Mar23
19,2017Mar24
13,2017Mar25
19,2017Mar26
18,2017Mar27
21,2017Mar28
16,2017Mar29
9,2017Mar30
20,2017Mar3
21,2017Mar31
15,2017Mar4
2,2017Mar5
23,2017Mar6
24,2017Mar7
18,2017Mar8
14,2017Mar9
4,2017May1
6,2017May13
10,2017May14
1,2017May15
14,2017May17
23,2017May18
15,2017May19
9,2017May20
5,2017May27
7,2017May3
5,2017May4
19,2017Nov10
14,2017Nov1
18,2017Nov11
17,2017Nov12
19,2017Nov13
17,2017Nov14
18,2017Nov15
3,2017Nov16
13,2017Nov17
24,2017Nov18
24,2017Nov19
24,2017Nov20
1,2017Nov2
18,2017Nov21
12,2017Nov22
12,2017Nov23
7,2017Nov24
14,2017Nov25
18,2017Nov26
8,2017Nov27
24,2017Nov28
24,2017Nov29
24,2017Nov30
2,2017Nov4
18,2017Nov5
24,2017Nov6
24,2017Nov7
24,2017Nov8
18,2017Nov9
15,2017Oct10
2,2017Oct1
3,2017Oct11
6,2017Oct12
16,2017Oct13
20,2017Oct14
19,2017Oct15
17,2017Oct16
12,2017Oct17
10,2017Oct18
9,2017Oct19
2,2017Oct20
18,2017Oct2
18,2017Oct21
13,2017Oct22
5,2017Oct23
11,2017Oct24
13,2017Oct25
12,2017Oct26
12,2017Oct27
12,2017Oct28
12,2017Oct29
10,2017Oct30
17,2017Oct3
16,2017Oct31
4,2017Oct4
10,2017Oct5
10,2017Oct6
5,2017Oct7
6,2017Oct8
17,2017Oct9
4,2017Sep16
2,2017Sep17
2,2017Sep19
7,2017Sep20
20,2017Sep22
16,2017Sep23
23,2017Sep24
17,2017Sep25
12,2017Sep26
7,2017Sep27
1,2017Sep28
