accum_day,DHBFH
2016Apr10nan,0
2016Apr11,7
2016Apr111,4
2016Apr11nan,0
2016Apr12nan,0
2016Apr131,1
2016Apr13nan,0
2016Apr141,4
2016Apr14nan,0
2016Apr151,2
2016Apr15nan,0
2016Apr161,4
2016Apr16nan,0
2016Apr171,6
2016Apr17nan,0
2016Apr181,7
2016Apr18nan,0
2016Apr191,7
2016Apr19nan,0
2016Apr1nan,0
2016Apr201,7
2016Apr20nan,0
2016Apr211,8
2016Apr21nan,0
2016Apr221,8
2016Apr22nan,0
2016Apr231,4
2016Apr23nan,0
2016Apr241,6
2016Apr24nan,0
2016Apr251,7
2016Apr25nan,0
2016Apr261,7
2016Apr26nan,0
2016Apr271,12
2016Apr27nan,0
2016Apr281,12
2016Apr28nan,0
2016Apr291,12
2016Apr29nan,0
2016Apr2nan,0
2016Apr301,7
2016Apr30nan,0
2016Apr3nan,0
2016Apr41,5
2016Apr4nan,0
2016Apr5nan,0
2016Apr6nan,0
2016Apr7nan,0
2016Apr8nan,0
2016Apr9nan,0
2016Aug101,12
2016Aug10nan,0
2016Aug11,12
2016Aug111,12
2016Aug11nan,0
2016Aug121,12
2016Aug12nan,0
2016Aug131,12
2016Aug13nan,0
2016Aug141,12
2016Aug14nan,0
2016Aug151,12
2016Aug15nan,0
2016Aug161,12
2016Aug16nan,0
2016Aug171,12
2016Aug17nan,0
2016Aug181,12
2016Aug18nan,0
2016Aug191,12
2016Aug19nan,0
2016Aug1nan,0
2016Aug201,12
2016Aug20nan,0
2016Aug21,12
2016Aug211,12
2016Aug21nan,0
2016Aug221,12
2016Aug22nan,0
2016Aug231,9
2016Aug23nan,0
2016Aug241,9
2016Aug24nan,0
2016Aug251,12
2016Aug25nan,0
2016Aug261,12
2016Aug26nan,0
2016Aug271,12
2016Aug27nan,0
2016Aug281,11
2016Aug28nan,0
2016Aug291,9
2016Aug29nan,0
2016Aug2nan,0
2016Aug301,11
2016Aug30nan,0
2016Aug31,12
2016Aug311,11
2016Aug31nan,0
2016Aug3nan,0
2016Aug41,12
2016Aug4nan,0
2016Aug51,12
2016Aug5nan,0
2016Aug61,12
2016Aug6nan,0
2016Aug71,12
2016Aug7nan,0
2016Aug81,12
2016Aug8nan,0
2016Aug91,12
2016Aug9nan,0
2016Dec10nan,0
2016Dec11nan,0
2016Dec12nan,0
2016Dec13nan,0
2016Dec14nan,0
2016Dec15nan,0
2016Dec16nan,0
2016Dec17nan,0
2016Dec18nan,0
