accum_day,DHBFH
2018Apr101,4
2018Apr10nan,0
2018Apr11,3
2018Apr111,9
2018Apr11nan,0
2018Apr121,4
2018Apr12nan,0
2018Apr13nan,0
2018Apr141,1
2018Apr14nan,0
2018Apr151,4
2018Apr15nan,0
2018Apr161,12
2018Apr16nan,0
2018Apr17nan,0
2018Apr18nan,0
2018Apr191,4
2018Apr19nan,0
2018Apr1nan,0
2018Apr201,6
2018Apr20nan,0
2018Apr21,6
2018Apr211,4
2018Apr21nan,0
2018Apr221,5
2018Apr22nan,0
2018Apr231,9
2018Apr23nan,0
2018Apr241,3
2018Apr24nan,0
2018Apr251,5
2018Apr25nan,0
2018Apr261,5
2018Apr26nan,0
2018Apr271,8
2018Apr27nan,0
2018Apr281,12
2018Apr28nan,0
2018Apr291,7
2018Apr29nan,0
2018Apr2nan,0
2018Apr30nan,0
2018Apr3nan,0
2018Apr41,2
2018Apr4nan,0
2018Apr51,2
2018Apr5nan,0
2018Apr61,1
2018Apr6nan,0
2018Apr71,4
2018Apr7nan,0
2018Apr8nan,0
2018Apr91,3
2018Apr9nan,0
2018Aug101,12
2018Aug10nan,0
2018Aug11,12
2018Aug111,12
2018Aug11nan,0
2018Aug121,12
2018Aug12nan,0
2018Aug131,12
2018Aug13nan,0
2018Aug141,12
2018Aug14nan,0
2018Aug151,12
2018Aug15nan,0
2018Aug161,12
2018Aug16nan,0
2018Aug171,12
2018Aug17nan,0
2018Aug181,12
2018Aug18nan,0
2018Aug191,12
2018Aug19nan,0
2018Aug1nan,0
2018Aug201,12
2018Aug20nan,0
2018Aug21,12
2018Aug211,12
2018Aug21nan,0
2018Aug221,12
2018Aug22nan,0
2018Aug231,12
2018Aug23nan,0
2018Aug241,12
2018Aug24nan,0
2018Aug251,12
2018Aug25nan,0
2018Aug261,12
2018Aug26nan,0
2018Aug271,12
2018Aug27nan,0
2018Aug281,9
2018Aug28nan,0
2018Aug291,12
2018Aug29nan,0
2018Aug2nan,0
2018Aug301,12
2018Aug30nan,0
2018Aug31,12
2018Aug311,12
2018Aug31nan,0
2018Aug3nan,0
2018Aug41,12
2018Aug4nan,0
2018Aug51,12
2018Aug5nan,0
2018Aug61,12
2018Aug6nan,0
2018Aug71,12
2018Aug7nan,0
2018Aug81,12
2018Aug8nan,0
2018Aug91,12
2018Aug9nan,0
2018Dec10nan,0
2018Dec11nan,0
2018Dec12nan,0
2018Dec13nan,0
2018Dec14nan,0
2018Dec15nan,0
2018Dec16nan,0
2018Dec17nan,0
2018Dec18nan,0
2018Dec19nan,0
2018Dec1nan,0
2018Dec20nan,0
2018Dec21nan,0
2018Dec22nan,0
2018Dec23nan,0
2018Dec24nan,0
2018Dec25nan,0
2018Dec26nan,0
2018Dec27nan,0
2018Dec28nan,0
2018Dec29nan,0
2018Dec2nan,0
2018Dec30nan,0
2018Dec31nan,0
2018Dec3nan,0
2018Dec4nan,0
2018Dec5nan,0
2018Dec6nan,0
2018Dec7nan,0
2018Dec8nan,0
2018Dec9nan,0
2018Feb10nan,0
2018Feb11nan,0
2018Feb12nan,0
2018Feb13nan,0
2018Feb14nan,0
2018Feb15nan,0
2018Feb16nan,0
2018Feb17nan,0
2018Feb181,2
2018Feb18nan,0
2018Feb19nan,0
2018Feb1nan,0
2018Feb20nan,0
2018Feb21nan,0
2018Feb22nan,0
2018Feb23nan,0
2018Feb24nan,0
2018Feb25nan,0
2018Feb26nan,0
2018Feb27nan,0
2018Feb28nan,0
2018Feb2nan,0
2018Feb3nan,0
2018Feb4nan,0
2018Feb5nan,0
2018Feb6nan,0
2018Feb7nan,0
