Unnamed: 0,year,month,day,hour,temp,dew_point,sea_level_pressure,wind_dir,wind_speed,coverage,precip_1,precip_6,in_season,concat,temp_converted,index,sunrise,sunset,is_day,warm_enough,dry,flight_hour,cold_enough,concat3,concat_hour,num_month,month_concat,DHBFH
0,2017,Jan,1,0.0,83,-72,10206,220,72,8,-9999,-9999,0.0,2017Jan1,46.94,0,7.24,17.12,0,0,1,,1,2017Jan11,2017Jan10.046.94,1,2017110.0,0
1,2017,Jan,1,1.0,83,-72,10203,220,67,-9999,0,-9999,0.0,2017Jan1,46.94,1,7.24,17.12,0,0,0,,1,2017Jan11,2017Jan11.046.94,1,2017111.0,0
2,2017,Jan,1,2.0,78,-61,10200,230,51,-9999,0,-9999,0.0,2017Jan1,46.04,2,7.24,17.12,0,0,0,,1,2017Jan11,2017Jan12.046.04,1,2017112.0,0
3,2017,Jan,1,3.0,78,-61,10201,220,62,-9999,0,-9999,0.0,2017Jan1,46.04,3,7.24,17.12,0,0,0,,1,2017Jan11,2017Jan13.046.04,1,2017113.0,0
4,2017,Jan,1,4.0,78,-56,10203,230,67,-9999,0,-9999,0.0,2017Jan1,46.04,4,7.24,17.12,0,0,0,,1,2017Jan11,2017Jan14.046.04,1,2017114.0,0
5,2017,Jan,1,5.0,78,-50,10202,230,67,-9999,0,-9999,0.0,2017Jan1,46.04,5,7.24,17.12,0,0,0,,1,2017Jan11,2017Jan15.046.04,1,2017115.0,0
6,2017,Jan,1,6.0,78,-44,10203,240,62,8,0,-9999,0.0,2017Jan1,46.04,6,7.24,17.12,0,0,0,,1,2017Jan11,2017Jan16.046.04,1,2017116.0,0
7,2017,Jan,1,7.0,78,-33,10199,220,57,-9999,0,-9999,0.0,2017Jan1,46.04,7,7.24,17.12,0,0,0,,1,2017Jan11,2017Jan17.046.04,1,2017117.0,0
8,2017,Jan,1,8.0,78,-33,10203,240,41,-9999,0,-9999,0.0,2017Jan1,46.04,8,7.24,17.12,0,0,0,,1,2017Jan11,2017Jan18.046.04,1,2017118.0,0
9,2017,Jan,1,9.0,78,-33,10204,230,57,-9999,0,-9999,0.0,2017Jan1,46.04,9,7.24,17.12,1,0,0,,1,2017Jan11,2017Jan19.046.04,1,2017119.0,0
10,2017,Jan,1,10.0,67,-6,10207,240,51,-9999,-1,-9999,0.0,2017Jan1,44.06,10,7.24,17.12,1,0,0,,1,2017Jan11,2017Jan110.044.06,1,20171110.0,0
11,2017,Jan,1,11.0,56,33,10215,230,67,-9999,3,-9999,0.0,2017Jan1,42.08,11,7.24,17.12,1,0,0,,1,2017Jan11,2017Jan111.042.08,1,20171111.0,0
12,2017,Jan,1,12.0,50,39,10224,240,31,8,10,8,0.0,2017Jan1,41.0,12,7.24,17.12,1,0,0,,1,2017Jan11,2017Jan112.041.0,1,20171112.0,0
13,2017,Jan,1,13.0,50,39,10225,220,46,-9999,20,-9999,0.0,2017Jan1,41.0,13,7.24,17.12,1,0,0,,1,2017Jan11,2017Jan113.041.0,1,20171113.0,0
14,2017,Jan,1,14.0,56,50,10229,230,31,-9999,13,-9999,0.0,2017Jan1,42.08,14,7.24,17.12,1,0,0,,1,2017Jan11,2017Jan114.042.08,1,20171114.0,0
